Eng,Th,Romanized
diagram,แผนภาพ,phaenphap
chart,แผนภูมิ,phaenphum
map,แผนที่,phaenthi
afterwards,ภายหลัง,phailang
inner,ภายใน,phainai
inside,ภายใน,phainai
internal,ภายใน,phainai
within,ภายใน,phainai
external,ภายนอก,phainok
disaster,ภัยพิบัติ,phaiphibat
under,ภายใต้,phaitai
sector,ภาค,phak
vegetable,ผัก,phak
party,พรรค,phak
towel,ผ้าขนหนู,phakhonnu
northern,ภาคเหนือ,phaknuea
thousand,พัน,phan
vehicle,พาหนะ,phana
wall,ผนัง,phanang
billion number,พันล้านหมายเลข,phanlanmailek
pass,ผ่านไป,phanpai
bond,พันธบัตร,phanthabat
league,พันธมิตร,phanthamit
via,ผ่านทาง,phanthang
wife,ภรรยา,phanya
burn,เผา,phao
pub,ผับ,phap
fold,พับ,phap
picture,ภาพ,phap
image,ภาพ,phap
visual,ภาพ,phap
folding,พับได้,phapdai
portrait,ภาพเหมือน,phapmuean
illustration,ภาพประกอบ,phapprakop
photo,ภาพถ่าย,phapthai
load,ภาระ,phara
obligation,ภาระผูกพัน,pharaphukphan
language,ภาษา,phasa
tax,ภาษี,phasi
mixed,ผสม,phasom
mix,ผสม,phasom
headline,พาดหัว,phathua
develop,พัฒนา,phatthana
development,พัฒนาการ,phatthanakan
nurse,พยาบาล,phayaban
witness,พยาน,phayan
attempt,พยายาม,phayayam
storm,พายุ,phayu
hurricane,พายุเฮอริเคน,phayuhoerikhen
ceiling,เพดาน,phedan
expensive,เเพง,pheng
sex,เพศ,phet
diamond,เพชร,phet
ghost,ผี,phi
brother,พี่ชาย,phichai
consider,พิจารณา,phicharana
deliberate,พิจารณา,phicharana
print,พิมพ์,phim
skin,ผิว,phio
museum,พิพิธภัณฑ์,phiphitphan
range,พิสัย,phisai
special,พิเศษ,phiset
extra,พิเศษ,phiset
proof,พิสูจน์,phisut
prove,พิสูจน์,phisut
ceremony,พิธี,phithi
mistake,ผิดพลาด,phitphlat
unusual,ผิดปกติ,phitpokati
disappointed,ผิดหวัง,phitwang
energy,พลังงาน,phlangngan
plastic,พลาสติก,phlattik
song,เพลง,phleng
music,เพลง,phleng
rock (music),เพลงร็อค),phlengrokha
plot,พล็อต,phlot
enough,พอ,pho
dad,พ่อ,pho
father,พ่อ,pho
equally,พอ ๆ กัน,pho   nakan
satisfy,พอใจ,phochai
fit,พอดี,phodi
add,เพิ่ม,phoem
increase,เพิ่มขึ้น,phoemkhuen
additional,เพิ่มเติม,phoemtoem
chef,พ่อครัว,phokhrua
hair,ผม,phom
I,ผม,phom
me,ผม,phom
thin,ผอม,phom
effect,ผล,phon
outcome,ผล,phon
powder,ผง,phong
relax,ผ่อนคลาย,phonkhlai
relaxed,ผ่อนคลาย,phonkhlai
relaxing,ผ่อนคลาย,phonkhlai
result,ผลลัพธ์,phonlap
fruit,ผลไม้,phonmai
citizen,พลเมือง,phonmueang
consequence,ผลพวง,phonphuang
civil,พลเรือน,phonruean
encounter,พบ,phop
found,พบ,phop
meet,พบกัน,phopkan
dictionary,พจนานุกรม,photchananukrom
hero,พระเอก,phra-ek
God,พระเจ้า,phrachao
queen,พระราชินี,phrarachini
palace,พระราชวัง,phraratchawang
priest,พระสงฆ์,phrasong
pepper,พริกไทย,phrikthai
November,พฤศจิกายน,phritchikain
because,เพราะ,phro
carpet,พรม,phrom
ready,พร้อมแล้ว,phromlaeo
behaviour,พฤติกรรม,phruetikam
director,ผู้อำนวยการ,phu-amnuaikan
reader,ผู้อ่าน,phu-an
immigrant,ผู้อพยพ,phu-ophayop
them,พวกเขา,phuakkhao
they,พวกเขา,phuakkhao
crew,พวกลูกเรือ,phuaklukruea
bunch,พวง,phuang
consumer,ผู้บริโภค,phuboriphok
innocent,ผู้บริสุทธิ์,phuborisut
guy,ผู้ชาย,phuchai
user,ผู้ใช้งาน,phuchai-ngan
winner,ผู้ชนะ,phuchana
manager,ผู้จัดการ,phuchatkan
expert,ผู้เชี่ยวชาญ,phuchiaochan
specialist,ผู้เชี่ยวชาญ,phuchiaochan
audience,ผู้ชม,phuchom
viewer,ผู้ชม,phuchom
assistant,ผู้ช่วย,phuchuai
passenger,ผู้โดยสาร,phudoisan
friend,เพื่อน,phuean
neighbour,เพื่อนบ้าน,phueanban
colleague,เพื่อนร่วมงาน,phueanruamngan
ground,พื้น,phuen
folk,พื้นบ้าน,phuenban
bee,ผึ้ง,phueng
background,พื้นหลัง,phuenlang
native,พื้นเมือง,phuenmueang
surface,พื้นผิว,phuenphio
fundamental,พื้นฐาน,phuenthan
area,พื้นที่,phuenthi
crop,พืชผล,phuetphon
listener,ผู้ฟัง,phufang
trainer,ผู้ฝึกสอน,phufuekson
tie,ผูก,phuk
mount,ภูเขา,phukhao
mountain,ภูเขา,phukhao
participant,ผู้เข้าร่วม,phukhaoruam
author,ผู้เขียน,phukhian
commit,ผูกมัด,phukmat
player,ผู้เล่น,phulen
climate,ภูมิอากาศ,phum-akat
visitor,ผู้มาเยือน,phumayuean
proud,ภูมิใจ,phumchai
bush,พุ่มไม้,phummai
region,ภูมิภาค,phumphak
landscape,ภูมิประเทศ,phumprathet
geography,ภูมิศาสตร์,phumsat
worker,ผู้ปฏิบัติงาน,phupatibatngan
judge,ผู้พิพากษา,phuphiphaksa
producer,ผู้ผลิต,phuphlit
speaker,ผู้พูด,phuphut
parent,ผู้ปกครอง,phupokkhrong
candidate,ผู้สมัคร,phusamakkhon
supporter,ผู้สนับสนุน,phusanapsanun
reporter,ผู้สื่อข่าว,phusuekhao
say,พูด,phut
spoken,พูด,phut
speak,พูด,phut
chat,พูดคุย,phutkhui
adult,ผู้ใหญ่,phuyai
minor,ผู้เยาว์,phuyao
lady,ผู้หญิง,phuying
resident,ผู้อยู่อาศัย,phuyu-asai
year,ปี,pi
wet,เปียก,piak
piano,เปียโน,piano
wing,ปีก,pik
climb,ปีนขึ้นไป,pinkhuenpai
off,ปิด,pit
closed,ปิด,pit
shut,ปิด,pit
fish,ปลา,pla
odd,แปลก,plaek
strange,แปลก,plaek
surprise,แปลกใจ,plaekchai
convert,แปลง,plaeng
transform,แปลง,plaeng
translate,แปลภาษา,plaephasa
tip,ปลาย,plai
end,ปลาย,plai
destination,ปลายทาง,plaithang
shine,เปล่งปลั่ง,plengplang
flame,เปลวไฟ,pleofai
shift,เปลี่ยน,plian
change,เปลี่ยนแปลง,plianplaeng
release,ปล่อย,ploi
let,ปล่อย,ploi
safe,ปลอดภัย,plotphai
secure,ปลอดภัย,plotphai
shell,เปลือก,plueak
plant,ปลูก,pluk
wake,ปลุก,pluk
launch,เปิด,poet
open,เปิด,poet
reveal,เปิดเผย,poetphoei
expose,เปิดเผย,poetphoei
cover,ปก,pok
covered,ปกคลุม,pokkhlum
govern,ปกครอง,pokkhrong
normally,ปกติ,pokti
regular,ปกติ,pokti
normal,ปกติ,pokti
pound,ปอนด์,pon
defence,ป้องกัน,pongkan
protect,ป้องกัน,pongkan
prevent,ป้องกัน,pongkan
defend,ป้องกัน,pongkan
pop,ป๊อปอัพ,pop-ap
poster,โปสเตอร์,posatoe
lung,ปอด,pot
population,ประชากร,prachakon
annual,ประจำปี,prachampi
daily,ประจำวัน,prachamwan
meeting,ประชุม,prachum
brush,แปรง,praeng
insurance,ประกันภัย,prakanphai
firstly,ประการแรก,prakanraek
declare,ประกาศ,prakat
announce,ประกาศ,prakat
publish,ประกาศ,prakat
include,ประกอบด้วย,prakopduai
consist,ประกอบด้วย,prakopduai
appear,ปรากฏ,prakot
phenomenon,ปรากฏการณ์,prakttan
amazed,ประหลาดใจ,pralatchai
surprised,ประหลาดใจ,pralatchai
approximately,ประมาณ,praman
estimate,ประมาณการ,pramankan
careless,ประมาท,pramat
rate,ประเมินค่า,pramoenkha
evaluate,ประเมินผล,pramoenphon
assess,ประเมินผล,pramoenphon
fishing,ประมง,pramong
adapt,ปรับ,prap
tradition,ประเพณี,prapheni
sort,ประเภท,praphet
genre,ประเภท,praphet
category,ประเภท,praphet
behave,ประพฤติ,praphriti
modify,ปรับเปลี่ยน,prapplian
update,ปรับปรุง,prapprung
castle,ปราสาท,prasat
performance,ประสิทธิภาพ,prasitthiphap
wish,ประสงค์,prasong
suffer,ประสบ,prasop
experience,ประสบการณ์,prasopkan
successfully,ประสบความสำเร็จ,prasopkhwamsamret
succeed,ประสบความสำเร็จ,prasopkhwamsamret
president,ประธาน,prathan
chairman,ประธาน,prathan
stamp,ประทับ,prathap
impressive,ประทับใจ,prathapchai
impressed,ประทับใจ,prathapchai
impress,ประทับใจ,prathapchai
country,ประเทศ,prathet
nation,ประเทศชาติ,prathetchat
primary,ประถม,prathom
protest,ประท้วง,prathuang
sculpture,ประติมากรรม,pratimakam
door,ประตู,pratu
gate,ประตู,pratu
philosophy,ปรัชญา,pratya
historic,ประวัติศาสตร์,prawattisat
history,ประวัติศาสตร์,prawattisat
historical,ประวัติศาสตร์,prawattisat
saving,ประหยัด,prayat
sentence,ประโยค,prayok
clause,ประโยค,prayok
benefit,ประโยชน์,prayot
practical,ประยุกต์,prayuk
compare,เปรียบเทียบ,priapthiap
program,โปรแกรม,prokraem
programme,โปรแกรม,prokraem
favour,โปรดปราน,protpran
cook,ปรุงอาหาร,prung-ahan
sick,ป่วย,puai
ill,ป่วย,puai
united,ปึกแผ่น,puekphaen
gun,ปืน,puen
button,ปุ่ม,pum
grandparent,ปู่ย่าตายาย,puyatayai
regulation,ระเบียบข้อบังคับ,rabiapkhobangkhap
agenda,ระเบียบวาระการประชุม,rabiapwarakanprachum
blow,ระเบิด,raboet
explode,ระเบิด,raboet
system,ระบบ,rabop
degree,ระดับ,radap
senior,ระดับอาวุโส,radap-awuso
mineral,แร่,rae
initial,แรกเริ่ม,raekroem
labour,แรงงาน,raengngan
passion,แรงผลักดัน,raengphlakdan
code,รหัส,rahat
who,Who,rai
Dis Adverbantage,Dis Adverbantage,rai aaaaaaaaaaaaaaaaaaaaiiiii
report,รายงาน,rai-ngan
individual,รายบุคคล,raibukkhon
list,รายการ,raikan
detail,รายละเอียด,raila-iat
detailed,รายละเอียด,raila-iat
love,รัก,rak
root,ราก,rak
rugby,รักบี้,rakbi
price,ราคา,rakha
cost,ราคา,rakha
cure,รักษา,raksa
treat,รักษา,raksa
retain,รักษา,raksa
elect,รักษาการ,raksakan
basis,รากฐาน,rakthan
careful,ระมัดระวัง,ramatrawang
annoyed,รำคาญ,ramkhan
wealthy,ร่ำรวย,ramruai
restaurant,ร้านอาหาร,ran-ahan
campaign,รณรงค์,ranarong
draft,ร่าง,rang
body,ร่างกาย,rangkai
award,รางวัล,rangwan
prize,รางวัล,rangwan
reward,รางวัล,rangwan
shop,ร้านขายของ,rankhaikhong
us,เรา,rao
we,เรา,rao
receive,รับ,rap
responsible,รับผิดชอบ,rapphitchop
guarantee,รับประกัน,rapprakan
recognize,รับรู้,rapru
acknowledge,รับทราบ,rapsap
can1,can1,rari 
cheerful,ร่าเริง,raroeng
can2,Can2,rarok
government,รัฐบาล,ratthaban
minister,รัฐมนตรี,ratthamontri
parliament,รัฐสภา,ratthasapha
between,ระหว่าง,rawang
international,ระหว่างประเทศ,rawangprathet
phase,ระยะ,raya
distance,ระยะทาง,rayathang
period,ระยะเวลา,rayawela
long-term,ระยะยาว,rayayao
learn,เรียน,rian
coin,เหรียญ,rian
essay,เรียงความ,riangkhwam
smooth,เรียบ,riap
neat,เรียบร้อย,riaproi
tidy,เรียบร้อย,riaproi
hurry,รีบเร่ง,ripreng
recycle,รีไซเคิล,risaikhoen
resort,รีสอร์ท,riso
wait,รอ,ro
begin,เริ่ม,roem
start,เริ่มต้น,roemton
hundred,ร้อย,roi
cent,ร้อย,roi
percentage,ร้อยละ,roila
per cent,ร้อยละ,roila
smile,รอยยิ้ม,roiyim
disease,โรค,rok
rock (stone),ร็อค (หิน),rok phahino
cancer,โรคมะเร็ง,rokmareng
umbrella,ร่ม,rom
romantic,โรแมนติก,romaentik
shade,ร่มเงา,romngao
hot,ร้อน,ron
secondary,รอง,rong
cry,ร้องไห้,ronghai
theatre,โรงละคร,ronglakhon
factory,โรงงาน,rongngan
cinema,โรงภาพยนตร์,rongphapphayon
hospital,โรงพยาบาล,rongphayaban
sing,ร้องเพลง,rongphleng
hotel,โรงแรม,rongraem
school,โรงเรียน,rongrian
garage,โรงรถ,rongrot
shoe,รองเท้า,rongthao
boot,รองเท้า,rongthao
round,รอบ,rop
around,รอบ,rop
carefully,รอบคอบ,ropkhop
annoy,รบกวน,ropkuan
surround,รอบทิศทาง,ropthitthang
truck,รถบรรทุก,rotbanthuk
lorry,รถบรรทุก,rotbanthuk
bus,รถบัส,rotbat
bicycle,รถจักรยาน,rotchakrayan
motorcycle,รถจักรยานยนต์,rotchakrayanyon
spicy,รสจัด,rotchat
train,รถไฟ,rotfai
car,รถยนต์,rothon
taxi,รถแท็กซี่,rotthaeksi
van,รถตู้,rottu
hole,รู,ru
fence,รั้ว,rua
rich,รวย,ruai
total,รวม,ruam
join,ร่วม,ruam
sum,รวม,ruam
combine,รวมกัน,ruamkan
common,ร่วมกัน,ruamkan
contemporary,ร่วมสมัย,ruamsamai
including,รวมทั้ง,ruamthang
involve,รวมถึง,ruamthueng
gather,รวบรวม,ruapruam
fast,รวดเร็ว,ruatreo
rapid,รวดเร็ว,ruatreo
quick,รวดเร็ว,ruatreo
or,หรือ,rue
boat,เรือ,ruea
ship,เรือ,ruea
affair,เรื่อง,rueang
subject,เรื่อง,rueang
matter,เรื่อง,rueang
fiction,เรื่องอ่านเล่น,rueang-anlen
story,เรื่องราว,rueangrao
joke,เรื่องตลก,rueangtalok
season,ฤดู,ruedu
spring,ฤดูใบไม้ผลิ,ruedubaimaiphli
autumn,ฤดูใบไม้ร่วง,ruedubaimairuang
winter,ฤดูหนาว,ruedunao
summer,ฤดูร้อน,rueduron
version,รุ่น,run
generation,รุ่น,run
violent,รุนแรง,runraeng
severe,รุนแรง,runraeng
figure,รูป,rup
statue,รูปปั้น,ruppan
shape,รูปร่าง,ruprang
luxury,หรูหรา,rura
feel,รู้สึก,rusuek
guilty,รู้สึกผิด,rusuekphit
sensitive,รู้สึกไว,rusuekwai
a,สระ,sa
an,สระ,sa
pool,สระ,sa
clean,สะอาด,sa-at
comfortable,สบาย,sabai
swear,สาบาน,saban
soap,สบู่,sabu
justify,แสดงให้เห็นถึง,sadaenghaihenthueng
illustrate,แสดง,sadang
display,แสดง,sadang
show,แสดง,sadang
indicate,แสดง,sadang
convenient,สะดวกสบาย,saduaksabai
light (from the sun/a lamp),แสง (จากดวงอาทิตย์ / หลอดไฟ),saeng phachakduang-athitpai
light (not heavy),แสง (ไม่หนัก),saeng phamainak
solar,แสงอาทิตย์,saeng-athit
sandwich,แซนด์วิช,saenwit
union,สหภาพ,sahaphap
cause,สาเหตุ,sahet
sand,ทราย,sai
late,สาย,sai
left,ซ้าย,sai
put,ใส่,sai
airline,สายการบิน,saikanbin
cable,สายเคเบิล,saikheboen
species,สายพันธุ์,saiphan
sight,สายตา,saita
department,สาขา,sakha
branch,สาขา,sakha
ski,สกี,saki
spell,สะกด,sakot
holy,ศักดิ์สิทธิ์,saksit
slide,สไลด์,salai
salad,สลัด,salat
three,สาม,sam
member,สมาชิก,samachik
association,สมาคม,samakhom
regularly,สม่ำเสมอ,samamsamoe
ordinary,สามัญ,saman
able,สามารถ,samat
capable,สามารถ,samat
concentration,สมาธิ,samathi
concentrate,สมาธิ,samathi
husband,สามี,sami
significant,สำคัญ,samkhan
important,สำคัญ,samkhan
essential,สำคัญ,samkhan
major,สำคัญ,samkhan
prime,สำคัญ,samkhan
key,สำคัญ,samkhan
crucial,สำคัญมาก,samkhanmak
repeated,ซ้ำแล้วซ้ำอีก,samlaeosam-ik
suppose,สมมติ,sammti
assume,สมมติ,sammti
office,สำนักงาน,samnakngan
copy,สำเนา,samnao
always,เสมอ,samoe
brain,สมอง,samong
club,สโมสร,samoson
relate,สัมพันธ์,samphan
connection,สัมพันธ์,samphan
interview,สัมภาษณ์,samphat
relatively,สัมพัทธ์,samphat
touch,สัมผัส,samphat
for,สำหรับ,samrap
reserve,สำรอง,samrong
explore,สำรวจ,samruat
survey,สำรวจ,samruat
thirty,สามสิบ,samsip
virtual,เสมือน,samuean
court,ศาล,san
short,สั้น,san
shake,สั่น,san
brief,สั้น,san
field,สนาม,sanam
airport,สนามบิน,sanambin
stadium,สนามกีฬา,sanamkila
support,สนับสนุน,sanapsanun
contribute,สนับสนุน,sanapsanun
attraction,เสน่ห์,sane
generate,สร้าง,sang
establish,สร้าง,sang
create,สร้าง,sang
construct,สร้าง,sang
build,สร้าง,sang
remark,สังเกต,sangket
observe,สังเกต,sangket
social,สังคม,sangkhom
society,สังคม,sangkhom
inspire,สร้างแรงบันดาลใจ,sangraengbandanchai
chemical,สารเคมี,sankhemi
symbol,สัญลักษณ์,sanlak
solution,สารละลาย,sanlalai
surgery,ศัลยกรรม,sanlayakam
offer,เสนอ,sanoe
submit,เสนอ,sanoe
propose,เสนอ,sanoe
praise,สรรเสริญ,sansoen
fun,สนุก,sanuk
enjoy,สนุก,sanuk
contract,สัญญา,sanya
sign,สัญญาณ,sanyan
signal,สัญญาณ,sanyan
noise,สัญญาณรบกวน,sanyanarapkuan
alarm,สัญญาณเตือนภัย,sanyantueanphai
girl,สาว,sao
sadly,เศร้า,sao
post,เสา,sao
summarize,สรุป,sap
know,ทราบ,sap
summary,สรุป,sap
aware,ทราบ,sap
week,สัปดาห์,sapda
council,สภา,sapha
bridge,สะพาน,saphan
weather,สภาพอากาศ,saphap-akat
sponsor,สปอนเซอร์,saponsoe
resource,ทรัพยากร,sapphayakon
confuse,สับสน,sapson
complicated,ซับซ้อน,sapson
complex,ซับซ้อน,sapson
confused,สับสน,sapson
appreciate,ซาบซึ้ง,sapsueng
documentary,สารคดี,sarokhadi
mixture,สารผสม,sarophasom
substance,สสาร,sasan
creature,สัตว์,sat
animal,สัตว์,sat
style,สไตล์,satai
century,ศตวรรษ,satawat
institute,สถาบัน,sathaban
institution,สถาบัน,sathaban
state,สถานะ,sathana
status,สถานะ,sathana
station,สถานี,sathani
situation,สถานการณ์,sathankan
circumstance,สถานการณ์,sathankan
place,สถานที่,sathanthi
architect,สถาปนิก,sathapanik
architecture,สถาปัตยกรรม,sathapattayakam
public,สาธารณะ,satharana
strongly,เสถียร,sathian
demonstrate,สาธิต,sathit
statistic,สถิติ,sathiti
reflect,สะท้อน,sathon
intelligence,สติปัญญา,satipanya
pet,สัตว์เลี้ยง,satliang
religion,ศาสนา,satsana
professor,ศาสตราจารย์,sattrachan
enemy,ศัตรู,sattru
studio,สตูดิโอ,satudi-o
seek,แสวงหา,sawaengha
heaven,สวรรค์,sawan
hi,สวัสดี,sawatdi
hello,สวัสดี,sawatdi
switch,สวิตซ์,sawit
cell,เซลล์,sen
curve,เส้นโค้ง,senkhong
nerve,เส้นประสาท,senprasat
path,เส้นทาง,senthang
route,เส้นทาง,senthang
freedom,เสรีภาพ,seriphap
session,เซสชั่น,setchan
finish,เสร็จสิ้น,setsin
economy,เศรษฐกิจ,setthakit
economic,เศรษฐกิจ,setthakit
paint,สี,si
colour,สี,si
four,สี่,si
broken,เสีย,sia
regret,เสียใจ,siachai
sad,เสียใจ,siachai
sound,เสียง,siang
laughter,เสียงหัวเราะ,sianghuaro
voice,เสียงพูด,siangphut
shout,เสียงร้อง,siangrong
pink,สีชมพู,sichomphu
red,สีแดง,sidaeng
black,สีดำ,sidam
CD,ซีดี,sidi
green,สีเขียว,sikhiao
square,สี่เหลี่ยม,siliam
yellow,สีเหลือง,silueang
purple,สีม่วง,simuang
blue,สีน้ำเงิน,sinamngoen
brown,สีน้ำตาล,sinamtan
biscuit,สีน้ำตาลอ่อน,sinamtan-on
stuff,สิ่ง,sing
thing,สิ่ง,sing
facility,สิ่งอำนวยความสะดวก,sing-amnuaikhwamsaduak
anything,สิ่งใด,singdai
August,สิงหาคม,singhakhom
item,สิ่งของ,singkhong
publication,สิ่งพิมพ์,singphim
lion,สิงโต,singto
environmental,สิ่งแวดล้อม,singwaetlom
environment,สิ่งแวดล้อม,singwaetlom
goods,สินค้า,sinkha
product,สินค้า,sinkha
art,ศิลปะ,sinlapa
artistic,ศิลปะ,sinlapa
artist,ศิลปิน,sinlapin
ending,สิ้นสุด,sinsut
ten,สิบ,sip
eleven,สิบเอ็ด,sip-et
seventeen,สิบเจ็ด,sipchet
fifteen,สิบห้า,sipha
sixteen,สิบหก,siphok
nineteen,สิบเก้า,sipkao
blonde,สีบลอนด์,siplon
eighteen,สิบแปด,sippaet
thirteen,สิบสาม,sipsam
fourteen,สิบสี่,sipsi
twelve,สิบสอง,sipsong
head,ศีรษะ,sirasa
forty,สี่สิบ,sisip
pale,ซีด,sit
grey,สีเทา,sithao
dirty,สกปรก,sokprok
orange,ส้ม,som
fork,ส้อม,som
sensible,สมเหตุสมผล,somahetsomphon
possession,สมบัติ,sombat
perfect,สมบูรณ์,sombun
complete,สมบูรณ์,sombun
balance,สมดุล,somdun
imaginary,สมมุติขึ้น,sommutikhuen
deserve,สมน้ำสมเนื้อ,somnamsomnuea
repair,ซ่อมแซม,somsaem
zone,โซน,son
heel,ส้น,son
hide,ซ่อน,son
teach,สอน,son
interested,สนใจ,sonchai
two,สอง,song
send,ส่ง,song
double,สอง,song
export,ส่งออก,song-ok
war,สงคราม,songkhram
twice,สองครั้ง,songkhrang
deliver,ส่งมอบ,songmop
impact,ส่งผลกระทบ,songphonkrathop
suspect,สงสัย,songsai
doubt,สงสัย,songsai
promote,ส่งเสริม,songsoem
encourage,ส่งเสริม,songsoem
discuss,สนทนา,sonthana
investigate,สอบสวน,sopsuan
software,ซอฟต์แวร์,sopwae
fresh,สด,sot
sauce,ซอส,sot
lively,สดใส,sotsai
bright,สดใส,sotsai
fight,สู้,su
beautiful,สวย,suai
wear,สวมใส่,suamsai
garden,สวน,suan
park,สวน,suan
personal,ส่วนบุคคล,suanbukkhon
discount,ส่วนลด,suanlot
part,ส่วนหนึ่ง,suannueng
ingredient,ส่วนผสม,suanphasom
component,ส่วนประกอบ,suanprakop
rest (sleep/relax),ส่วนที่เหลือ (การนอนหลับ / ผ่อนคลาย),suanthiluea phakannonkhlai
rest (remaining part),ส่วนที่เหลือ (ส่วนที่เหลือ),suanthiluea phusanthiluea
addition,ส่วนที่เพิ่มเข้าไป,suanthiphoemkhaopai
personally,ส่วนตัว,suantua
mainly,ส่วนใหญ่,suanyai
mostly,ส่วนใหญ่,suanyai
majority,ส่วนใหญ่,suanyai
largely,ส่วนใหญ่,suanyai
buy,ซื้อ,sue
acquire,ซื้อ,sue
media,สื่อ,sue
purchase,ซื้อ,sue
shirt,เสื้อเชิ้ต,sueachoet
sweater,เสื้อกันหนาว,sueakannao
coat,เสื้อโค้ท,sueakhot
clothes,เสื้อผ้า,sueapha
clothing,เสื้อผ้า,sueapha
T-shirt,เสื้อยืดคอกลม,sueayuetkhoklom
fighting,ศึก,suek
study,ศึกษา,sueksa
based,ซึ่งเป็นรากฐาน,suengpenrakthan
communicate,สื่อสาร,suesan
honest,ซื่อสัตย์,suesat
delight,สุข,suk
health,สุขภาพ,sukphap
brilliant,สุกใส,suksai
centre,ศูนย์,sun
zero,ศูนย์,sun
Advanced,สูง,sung
tall,สูง,sung
high,สูง,sung
elderly,สูงอายุ,sung-ayu
steep,สูงชัน,sungchan
upwards,สูงกว่า,sungkwa
lost,สูญหาย,sunhai
central,ศูนย์กลาง,sunklang
soup,ซุป,sup
polite,สุภาพ,suphap
gentleman,สุภาพบุรุษ,suphapburut
supermarket,ซุปเปอร์มาร์เก็ต,suppoemaket
suit,สูท,sut
extreme,สุดขีด,sutkhit
weekend,สุดสัปดาห์,sutsapda
recipe,สูตรอาหาร,suttahan
final,สุดท้าย,sutthai
net,สุทธิ,sutthi
eye,ตา,ta
blind,ตาบอด,tabot
but,แต่,tae
originally,แต่เดิม,taedoem
unlike,แตกต่าง,taektang
vary,แตกต่าง,taektang
each,แต่ละ,taela
make,แต่งหน้า,taengna
married,แต่งงาน,taengngan
marry,แต่งงาน,taengngan
dress,แต่งตัว,taengtua
dressed,แต่งตัว,taengtua
whereas,แต่ทว่า,taethawa
nevertheless,แต่ถึงอย่างไร,taethuengyangrai
die,ตาย,tai
dead,ตาย,tai
underground,ใต้ดิน,taidin
lead,ตะกั่ว,takua
market,ตลาด,talat
humorous,ตลก,talok
funny,ตลก,talok
throughout,ตลอด,talot
through,ตลอด,talot
forever,ตลอดไป,talotpai
according to,ตาม,tam
along,ตาม,tam
low,ต่ำ,tam
typical,ตามแบบฉบับ,tambaepchabap
ethical,ตามหลักจริยธรรม,tamlakchariyatham
position,ตำแหน่ง,tamnaeng
blame,ตำหนิ,tamni
usual,ตามปกติ,tampokti
police,ตำรวจ,tamruat
different,ต่าง,tang
intend,ตั้งใจ,tangchai
intended,ตั้งใจว่า,tangchaiwa
apart,ต่างหาก,tanghak
differently,ต่างกัน,tangkan
pregnant,ตั้งครรภ์,tangkhan
various,ต่างๆ,tango
foreign,ต่างประเทศ,tangprathet
since,ตั้งแต่,tangtae
locate,ตั้งอยู่,tangyu
logical,ตรรกะ,tanka
cooker,เตา,tao
oven,เตาอบ,tao-op
breast,เต้านม,taonom
table,ตาราง,tarang
schedule,ตารางเวลา,tarangwela
cut,ตัด,tat
decide,ตัดสิน,tatsin
western,ตะวันตก,tawantok
kick,เตะ,te
full,เต็ม,tem
willing,เต็มใจ,temchai
tent,เต็นท์,ten
dance,เต้นรำ,tenram
if,ถ้า,tha
actually,แท้จริง,thaeching
instead,แทน,thaen
represent,แทน,thaen
replace,แทนที่,thaenthi
row,แถว,thaeo
hardly,แทบจะไม่,thaepchamai
tablet,แท็บเล็ต,thaeplet
military,ทหาร,thahan
soldier,ทหาร,thahan
photograph,ถ่ายภาพ,thaiphap
greet,ทักทาย,thakthai
sea,ทะเล,thale
desert,ทะเลทราย,thalesai
lake,ทะเลสาป,thalesap
ask,ถาม,tham
fair,ธรรม,tham
do,ทำ,tham
wooden,ทำด้วยไม้,thamduaimai
enhance,ทำให้ดีขึ้น,thamhaidikhuen
improve,ทำให้ดีขึ้น,thamhaidikhuen
confusing,ทำให้เกิดความสับสน,thamhaikoetkhwamsapson
enable,ทำให้สามารถ,thamhaisamat
destroy,ทำลาย,thamlai
wildlife,ธรรมชาติ,thammachat
nature,ธรรมชาติ,thammachat
why,ทำไม,thammai
ensure,ทำให้มั่นใจ,thammaimanchai
predict,ทำนาย,thamnai
act,ทำหน้าที่,thamnathi
operate,ทำงาน,thamngan
tune,ทำนองเพลง,thamnongphleng
repeat,ทำซ้ำ,thamsam
base,ฐาน,than
sir,ท่าน,than
lawyer,ทนายความ,thanaikhwam
bank (money),ธนาคาร (เงิน),thanakhan pha-ngoeno
bank (river),ธนาคาร (แม่น้ำ),thanakhan phamaenam
suddenly,ทันใดนั้น,thandainan
way,ทาง,thang
either,ทั้ง,thang
bin,ถัง,thang
tank,ถัง,thang
indirect,ทางอ้อม,thang-om
mental,ทางใจ,thangchai
passage,ทางเดิน,thangdoen
medical,ทางการแพทย์,thangkanphaet
entrance,ทางเข้า,thangkhao
alternative,ทางเลือก,thanglueak
choice,ทางเลือก,thanglueak
whole,ทั้งหมด,thangmot
entire,ทั้งหมด,thangmot
overall,ทั้งหมด,thangmot
all,ทั้งหมด,thangmot
sexual,ทางเพศ,thangphet
railway,ทางรถไฟ,thangrotfai
both,ทั้งสอง,thangsong
southern,ทางใต้,thangtai
eastern,ทางตะวันออก,thangtawan-ok
north,ทางทิศเหนือ,thangthitnuea
south,ทางทิศใต้,thangthittai
east,ทางทิศตะวันออก,thangthittawan-ok
runner,ทางวิ่ง,thangwing
coal,ถ่านหิน,thanhin
