Eng,Th,Romanized
award,รางวัล,rangwan
list,รายการ,raikan
report,รายงาน,rai-ngan
individual,รายบุคคล,raibukkhon
detailed,รายละเอียด,raila-iat
detail,รายละเอียด,raila-iat
annoyed,รำคาญ,ramkhan
hurry,รีบเร่ง,ripreng
resort,รีสอร์ท,riso
recycle,รีไซเคิล,risaikhoen
severe,รุนแรง,runraeng
violent,รุนแรง,runraeng
version,รุ่น,run
generation,รุ่น,run
hole,รู,ru
figure,รูป,rup
statue,รูปปั้น,ruppan
shape,รูปร่าง,ruprang
feel,รู้สึก,rusuek
guilty,รู้สึกผิด,rusuekphit
sensitive,รู้สึกไว,rusuekwai
rock (stone),ร็อค (หิน),rok phahino
umbrella,ร่ม,rom
shade,ร่มเงา,romngao
join,ร่วม,ruam
common,ร่วมกัน,ruamkan
contemporary,ร่วมสมัย,ruamsamai
draft,ร่าง,rang
body,ร่างกาย,rangkai
cheerful,ร่าเริง,raroeng
wealthy,ร่ำรวย,ramruai
sing,ร้องเพลง,rongphleng
cry,ร้องไห้,ronghai
hot,ร้อน,ron
cent,ร้อย,roi
hundred,ร้อย,roi
per cent,ร้อยละ,roila
percentage,ร้อยละ,roila
shop,ร้านขายของ,rankhaikhong
restaurant,ร้านอาหาร,ran-ahan
season,ฤดู,ruedu
summer,ฤดูร้อน,rueduron
winter,ฤดูหนาว,ruedunao
spring,ฤดูใบไม้ผลิ,ruedubaimaiphli
autumn,ฤดูใบไม้ร่วง,ruedubaimairuang
down,ลง,long
downwards,ลงต่ำ,longtam
invest,ลงทุน,longthun
punish,ลงโทษ,longthot
reduce,ลด,lot
decrease,ลดลง,lotlong
decline,ลดลง,lotlong
lower,ลดลง,lotlong
remove,ลบ,lop
breath,ลมหายใจ,lomhaichai
wire,ลวด,luat
try,ลอง,long
float,ลอย,loi
drama,ละคร,lakhon
abandon,ละทิ้ง,lathing
melt,ละลาย,lalai
ashamed,ละอายใจ,la-aichai
fine,ละเอียด,la-iat
description,ลักษณะ,laksana
manner,ลักษณะ,laksana
feature,ลักษณะเฉพาะ,laksanachapho
characteristic,ลักษณะเฉพาะ,laksanachapho
hesitate,ลังเล,langle
loudly,ลั่น,lan
drag,ลาก,lak
goodbye,ลาก่อน,lakon
slope,ลาด,lat
yard,ลาน,lan
throat,ลำคอ,lamkho
sequence,ลำดับ,lamdap
monkey,ลิง,ling
link,ลิงค์,ling
tongue,ลิ้น,lin
taste,ลิ้มรส,limrot
deeply,ลึก,luek
deep,ลึก,luek
mysterious,ลึกลับ,lueklap
forget,ลืม,luem
slip,ลื่น,luen
rise,ลุกขึ้น,lukkhuen
uncle,ลุง,lung
customer,ลูกค้า,lukkha
client,ลูกค้า,lukkha
employee,ลูกจ้าง,lukchang
son,ลูกชาย,lukchai
ball,ลูกบอล,lukbon
cousin,ลูกพี่ลูกน้อง,lukphiluknong
daughter,ลูกสาว,luksao
lock,ล็อค,lok
collapse,ล่มสลาย,lomsalai
ahead,ล่วงหน้า,luangna
hunt,ล่า,la
latest,ล่าสุด,lasut
fail,ล้มเหลว,lomleo
wheel,ล้อ,lo
wash,ล้าง,lang
million number,ล้านหมายเลข,lanmailek
circle,วงกลม,wongklom
cycle,วงจร,wongchon
band,วงดนตรี,wongdontri
literature,วรรณกรรม,wannakam
phrase,วลี,wali
culture,วัฒนธรรม,watthanatham
measure,วัด,wat
object,วัตถุ,watthu
objective,วัตถุประสงค์,watthuprasong
purpose,วัตถุประสงค์,watthuprasong
day,วัน,wan
anniversary,วันครบรอบ,wankhroprop
Monday,วันจันทร์,wanchan
date,วันที่,wanthi
tomorrow,วันพรุ่งนี้,wanphrungni
Thursday,วันพฤหัสบดี,wanphruehatbodi
Wednesday,วันพุธ,wanphut
Friday,วันศุกร์,wansuk
vacation,วันหยุด,wanyut
holiday,วันหยุด,wanyut
Tuesday,วันอังคาร,wan-angkhan
Sunday,วันอาทิตย์,wan-athit
birthday,วันเกิด,wankoet
Saturday,วันเสาร์,wansao
teenage,วัยรุ่น,wairun
childhood,วัยเด็ก,waidek
teenager,วัยโจ๋,waicho
cow,วัว,wua
material,วัสดุ,watsud
lay,วาง,wang
bomb,วางระเบิด,wangraboet
plan,วางแผน,wangphaen
rely,วางใจ,wangchai
trust,วางใจ,wangchai
draw,วาด,wat
journal,วารสาร,warasan
term,วาระ,wara
crisis,วิกฤติ,wikriti
critical,วิกฤติ,wikriti
research,วิจัย,wichai
criticize,วิจารณ์,wichan
academic,วิชาการ,wichakan
technical,วิชาการ,wichakan
spirit,วิญญาณ,winyan
vitamin,วิตามิน,witamin
lifestyle,วิถีการดำเนินชีวิต,withikandamnoenchiwit
college,วิทยาลัย,witthayalai
scientific,วิทยาศาสตร์,witthayasat
science,วิทยาศาสตร์,witthayasat
campus,วิทยาเขต,witthayakhet
radio,วิทยุ,witthayu
method,วิธี,withi
means,วิธี,withi
discipline,วินัย,winai
engineer,วิศวกร,witsawakon
engineering,วิศวกรรม,witsawakam
vision,วิสัยทัศน์,wisaithat
extraordinary,วิสามัญ,wisaman
analyse,วิเคราะห์,wikhro
rush,วิ่ง,wing
running,วิ่ง,wing
run,วิ่ง,wing
video,วีดีโอ,widi-o
whether,ว่า,wa
unemployed,ว่างงาน,wangngan
blank,ว่างเปล่า,wangplao
empty,ว่างเปล่า,wangplao
engage,ว่าจ้าง,wachang
swimming,ว่ายน้ำ,wainam
wow,ว้าว,wao
century,ศตวรรษ,satawat
holy,ศักดิ์สิทธิ์,saksit
enemy,ศัตรู,sattru
surgery,ศัลยกรรม,sanlayakam
court,ศาล,san
professor,ศาสตราจารย์,sattrachan
religion,ศาสนา,satsana
art,ศิลปะ,sinlapa
artistic,ศิลปะ,sinlapa
artist,ศิลปิน,sinlapin
head,ศีรษะ,sirasa
fighting,ศึก,suek
study,ศึกษา,sueksa
zero,ศูนย์,sun
centre,ศูนย์,sun
central,ศูนย์กลาง,sunklang
dirty,สกปรก,sokprok
ski,สกี,saki
war,สงคราม,songkhram
doubt,สงสัย,songsai
suspect,สงสัย,songsai
fresh,สด,sot
bright,สดใส,sotsai
lively,สดใส,sotsai
intelligence,สติปัญญา,satipanya
studio,สตูดิโอ,satudi-o
circumstance,สถานการณ์,sathankan
situation,สถานการณ์,sathankan
place,สถานที่,sathanthi
status,สถานะ,sathana
state,สถานะ,sathana
station,สถานี,sathani
institute,สถาบัน,sathaban
institution,สถาบัน,sathaban
architect,สถาปนิก,sathapanik
architecture,สถาปัตยกรรม,sathapattayakam
statistic,สถิติ,sathiti
discuss,สนทนา,sonthana
contribute,สนับสนุน,sanapsanun
support,สนับสนุน,sanapsanun
field,สนาม,sanam
stadium,สนามกีฬา,sanamkila
airport,สนามบิน,sanambin
fun,สนุก,sanuk
enjoy,สนุก,sanuk
interested,สนใจ,sonchai
comfortable,สบาย,sabai
soap,สบู่,sabu
sponsor,สปอนเซอร์,saponsoe
council,สภา,sapha
weather,สภาพอากาศ,saphap-akat
balance,สมดุล,somdun
deserve,สมน้ำสมเนื้อ,somnamsomnuea
possession,สมบัติ,sombat
perfect,สมบูรณ์,sombun
complete,สมบูรณ์,sombun
suppose,สมมติ,sammti
assume,สมมติ,sammti
imaginary,สมมุติขึ้น,sommutikhuen
brain,สมอง,samong
association,สมาคม,samakhom
member,สมาชิก,samachik
concentrate,สมาธิ,samathi
concentration,สมาธิ,samathi
sensible,สมเหตุสมผล,somahetsomphon
regularly,สม่ำเสมอ,samamsamoe
praise,สรรเสริญ,sansoen
a,สระ,sa
an,สระ,sa
pool,สระ,sa
summary,สรุป,sap
summarize,สรุป,sap
build,สร้าง,sang
generate,สร้าง,sang
create,สร้าง,sang
construct,สร้าง,sang
establish,สร้าง,sang
inspire,สร้างแรงบันดาลใจ,sangraengbandanchai
salad,สลัด,salat
park,สวน,suan
garden,สวน,suan
wear,สวมใส่,suamsai
beautiful,สวย,suai
heaven,สวรรค์,sawan
hello,สวัสดี,sawatdi
hi,สวัสดี,sawatdi
switch,สวิตซ์,sawit
substance,สสาร,sasan
union,สหภาพ,sahaphap
two,สอง,song
double,สอง,song
twice,สองครั้ง,songkhrang
teach,สอน,son
investigate,สอบสวน,sopsuan
spell,สะกด,sakot
convenient,สะดวกสบาย,saduaksabai
reflect,สะท้อน,sathon
bridge,สะพาน,saphan
clean,สะอาด,sa-at
social,สังคม,sangkhom
society,สังคม,sangkhom
remark,สังเกต,sangket
observe,สังเกต,sangket
contract,สัญญา,sanya
signal,สัญญาณ,sanyan
sign,สัญญาณ,sanyan
noise,สัญญาณรบกวน,sanyanarapkuan
alarm,สัญญาณเตือนภัย,sanyantueanphai
symbol,สัญลักษณ์,sanlak
creature,สัตว์,sat
animal,สัตว์,sat
pet,สัตว์เลี้ยง,satliang
confuse,สับสน,sapson
confused,สับสน,sapson
week,สัปดาห์,sapda
touch,สัมผัส,samphat
relatively,สัมพัทธ์,samphat
relate,สัมพันธ์,samphan
connection,สัมพันธ์,samphan
interview,สัมภาษณ์,samphat
shake,สั่น,san
short,สั้น,san
brief,สั้น,san
department,สาขา,sakha
branch,สาขา,sakha
public,สาธารณะ,satharana
demonstrate,สาธิต,sathit
swear,สาบาน,saban
three,สาม,sam
thirty,สามสิบ,samsip
ordinary,สามัญ,saman
able,สามารถ,samat
capable,สามารถ,samat
husband,สามี,sami
late,สาย,sai
airline,สายการบิน,saikanbin
sight,สายตา,saita
species,สายพันธุ์,saiphan
cable,สายเคเบิล,saikheboen
documentary,สารคดี,sarokhadi
mixture,สารผสม,sarophasom
solution,สารละลาย,sanlalai
chemical,สารเคมี,sankhemi
girl,สาว,sao
cause,สาเหตุ,sahet
key,สำคัญ,samkhan
important,สำคัญ,samkhan
prime,สำคัญ,samkhan
essential,สำคัญ,samkhan
significant,สำคัญ,samkhan
major,สำคัญ,samkhan
crucial,สำคัญมาก,samkhanmak
office,สำนักงาน,samnakngan
explore,สำรวจ,samruat
survey,สำรวจ,samruat
reserve,สำรอง,samrong
for,สำหรับ,samrap
copy,สำเนา,samnao
August,สิงหาคม,singhakhom
lion,สิงโต,singto
goods,สินค้า,sinkha
product,สินค้า,sinkha
ten,สิบ,sip
twelve,สิบสอง,sipsong
thirteen,สิบสาม,sipsam
fourteen,สิบสี่,sipsi
sixteen,สิบหก,siphok
fifteen,สิบห้า,sipha
nineteen,สิบเก้า,sipkao
seventeen,สิบเจ็ด,sipchet
eleven,สิบเอ็ด,sip-et
eighteen,สิบแปด,sippaet
stuff,สิ่ง,sing
thing,สิ่ง,sing
item,สิ่งของ,singkhong
publication,สิ่งพิมพ์,singphim
facility,สิ่งอำนวยความสะดวก,sing-amnuaikhwamsaduak
environment,สิ่งแวดล้อม,singwaetlom
environmental,สิ่งแวดล้อม,singwaetlom
anything,สิ่งใด,singdai
ending,สิ้นสุด,sinsut
colour,สี,si
paint,สี,si
pink,สีชมพู,sichomphu
black,สีดำ,sidam
brown,สีน้ำตาล,sinamtan
biscuit,สีน้ำตาลอ่อน,sinamtan-on
blue,สีน้ำเงิน,sinamngoen
blonde,สีบลอนด์,siplon
purple,สีม่วง,simuang
green,สีเขียว,sikhiao
grey,สีเทา,sithao
yellow,สีเหลือง,silueang
red,สีแดง,sidaeng
four,สี่,si
forty,สี่สิบ,sisip
square,สี่เหลี่ยม,siliam
media,สื่อ,sue
communicate,สื่อสาร,suesan
brilliant,สุกใส,suksai
delight,สุข,suk
health,สุขภาพ,sukphap
extreme,สุดขีด,sutkhit
final,สุดท้าย,sutthai
weekend,สุดสัปดาห์,sutsapda
net,สุทธิ,sutthi
polite,สุภาพ,suphap
gentleman,สุภาพบุรุษ,suphapburut
high,สูง,sung
Advanced,สูง,sung
tall,สูง,sung
upwards,สูงกว่า,sungkwa
steep,สูงชัน,sungchan
elderly,สูงอายุ,sung-ayu
lost,สูญหาย,sunhai
recipe,สูตรอาหาร,suttahan
suit,สูท,sut
fight,สู้,su
club,สโมสร,samoson
style,สไตล์,satai
slide,สไลด์,salai
send,ส่ง,song
impact,ส่งผลกระทบ,songphonkrathop
deliver,ส่งมอบ,songmop
export,ส่งออก,song-ok
encourage,ส่งเสริม,songsoem
promote,ส่งเสริม,songsoem
personally,ส่วนตัว,suantua
addition,ส่วนที่เพิ่มเข้าไป,suanthiphoemkhaopai
rest (sleep/relax),ส่วนที่เหลือ (การนอนหลับ / ผ่อนคลาย),suanthiluea phakannonkhlai
rest (remaining part),ส่วนที่เหลือ (ส่วนที่เหลือ),suanthiluea phusanthiluea
personal,ส่วนบุคคล,suanbukkhon
component,ส่วนประกอบ,suanprakop
ingredient,ส่วนผสม,suanphasom
discount,ส่วนลด,suanlot
part,ส่วนหนึ่ง,suannueng
largely,ส่วนใหญ่,suanyai
mainly,ส่วนใหญ่,suanyai
mostly,ส่วนใหญ่,suanyai
majority,ส่วนใหญ่,suanyai
heel,ส้น,son
orange,ส้ม,som
fork,ส้อม,som
six,หก,hok
sixty,หกสิบ,hoksip
nervous,หงุดหงิด,ngutngit
woman,หญิง,ying
female,หญิง,ying
grass,หญ้า,ya
depressed,หดหู่,hothu
heavy,หนัก,nak
heavily,หนัก,nak
movie,หนัง,nang
action,หนังบู๊,nangbu
leather,หนังสัตว์,nangsat
book,หนังสือ,nangsue
newspaper,หนังสือพิมพ์,nangsuephim
passport,หนังสือเดินทาง,nangsuedoenthang
thick,หนา,na
escape,หนี,ni
debt,หนี้สิน,nisin
one,หนึ่ง,nueng
youth,หนุ่ม,num
young,หนุ่มสาว,numsao
unit,หน่วย,nuai
memory,หน่วยความจำ,nuaikhwamcham
agency,หน่วยงาน,nuai-ngan
page,หน้า,na
monitor,หน้าจอ,nacho
window,หน้าต่าง,natang
duty,หน้าที่,nathi
mission,หน้าที่,nathi
chest,หน้าอก,na-ok
desperate,หมดหวัง,motwang
hat,หมวก,muak
engaged,หมั้น,man
dog,หมา,ma
bear (deal with),หมี (ข้อตกลงกับ),mi phokklongkap
bear (animal),หมี (สัตว์),mi phasat
pin,หมุด,mut
pig,หมู,mu
village,หมู่บ้าน,muban
pot,หม้อ,mo
rude,หยาบ,yap
curly,หยิก,yik
stop,หยุด,yut
break,หยุดพัก,yutphak
or,หรือ,rue
luxury,หรูหรา,rura
royal,หลวง,luang
loose,หลวม,luam
tube,หลอด,lot
principle,หลัก,lak
main,หลัก,lak
evidence,หลักฐาน,lakthan
course,หลักสูตร,laksut
behind,หลัง,lang
roof,หลังคา,langkha
after,หลังจาก,langchak
several,หลาย,lai
multiple,หลายอย่าง,laiyang
avoid,หลีกเลี่ยงการ,likliangkan
drop,หล่น,lon
cast,หล่อ,lo
sweet,หวาน,wan
tower,หอคอย,hokhoi
title,หัวข้อ,huakho
topic,หัวข้อเรื่อง,huakhorueang
chief,หัวหน้า,huana
leader,หัวหน้า,huana
onion,หัวหอม,huahom
laugh,หัวเราะ,huaro
old-fashioned,หัวโบราณ,huaboran
heart,หัวใจ,huachai
find,หา,ha
would,หากว่า,hakwa
tail,หาง,hang
rare,หายาก,hayak
breathe,หายใจ,haichai
missing,หายไป,haipai
disappear,หายไป,haipai
divide,หาร,han
stone,หิน,hin
snow,หิมะ,hima
hungry,หิว,hio
shelf,หิ้ง,hing
valley,หุบเขา,hupkhao
robot,หุ่นยนต์,hunyon
share,หุ้น,hun
partner,หุ้นส่วน,hunsuan
ear,หู,hu
wrap,ห่อ,ho
remote,ห่างไกล,hangklai
far,ห่างไกล,hangklai
room,ห้อง,hong
bedroom,ห้องนอน,hongnon
toilet,ห้องน้ำ,hongnam
laboratory,ห้องปฏิบัติการ,hongpatibattan
lab,ห้องปฏิบัติการ,hongpatibattan
library,ห้องสมุด,hongsamut
bathroom,ห้องอาบน้ำ,hong-apnam
classroom,ห้องเรียน,hongrian
hall,ห้องโถง,hongthong
five,ห้า,ha
mall,ห้างสรรพสินค้า,hangsapphasinkha
ban,ห้าม,ham
fifty,ห้าสิบ,hasip
corporate,องค์กร,ongkon
organization,องค์กร,ongkon
patient,อดทน,otthon
former,อดีต,adit
past,อดีต,adit
explain,อธิบาย,athibai
describe,อธิบาย,athibai
pray,อธิษฐาน,athitthan
future,อนาคต,anakhot
junior,อนุ,anu
licence,อนุญาต,anuyat
allow,อนุญาต,anuyat
approve,อนุมัติ,anumat
conservative,อนุรักษนิยม,anuraksaniyom
preserve,อนุรักษ์,anurak
bake,อบ,op
warm,อบอุ่น,op-un
apartment,อพาร์ทเม้น,aphatmen
debate,อภิปราย,aphiprai
discussion,อภิปรายผล,aphipraiphon
survive,อยู่รอด,yurot
widely,อย่างกว้างขวาง,yangkwangkhwang
easily,อย่างง่ายดาย,yangngaidai
seriously,อย่างจริงจัง,yangchingchang
necessarily,อย่างจำเป็น,yangchampen
obviously,อย่างชัดเจน,yangchatchen
properly,อย่างถูกต้อง,yangthuktong
commonly,อย่างธรรมดา,yangthammada
extremely,อย่างมาก,yangmak
highly,อย่างมาก,yangmak
significantly,อย่างมีความหมาย,yangmikhwammai
quickly,อย่างรวดเร็ว,yangruatreo
rapidly,อย่างรวดเร็ว,yangruatreo
perfectly,อย่างสมบูรณ์,yangsombun
completely,อย่างสมบูรณ์,yangsombun
constantly,อย่างสม่ำเสมอ,yangsamsamoe
entirely,อย่างสิ้นเชิง,yangsinchoeng
such,อย่างเช่น,yangchen
fully,อย่างเต็มที่,yangtemthi
fairly,อย่างเป็นธรรม,yangpentham
clearly,อย่างเห็นได้ชัด,yanghendaichat
truly,อย่างแท้จริง,yangthaeching
certainly,อย่างแน่นอน,yangnaenon
surely,อย่างแน่นอน,yangnaenon
exactly,อย่างแน่นอน,yangnaenon
definitely,อย่างแน่นอน,yangnaenon
absolutely,อย่างแน่นอน,yangnaenon
closely,อย่างใกล้ชิด,yangklaichit
how,อย่างไร,yangrai
however,อย่างไรก็ตาม,yangraikotam
anyway,อย่างไรก็ตาม,yangraikotam
delicious,อร่อย,oi
organ,อวัยวะ,awaiwa
out,ออก,ok
leave,ออกจาก,okchak
emerge,ออกมา,okma
broadcast,ออกอากาศ,ok-akat
pronounce,ออกเสียง,oksiang
design,ออกแบบ,okbaep
online,ออนไลน์,onlai
what,อะไร,arai
whatever,อะไรก็ตาม,araikotam
danger,อันตราย,antrai
risk,อันตราย,antrai
harm,อันตราย,antrai
album,อัลบั้ม,anbam
ah,อา,a
symptom,อาการ,akan
headache,อาการปวดหัว,akanpuathua
air,อากาศ,akat
aircraft,อากาศยาน,akatyan
building,อาคาร,akhan
possibly,อาจ,at
May,อาจ,at
probably,อาจ,at
maybe,อาจจะ,atcha
instructor,อาจารย์ผู้สอน,achanphuson
might modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
may modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
criminal,อาชญากร,atyakon
crime,อาชญากรรม,atyakam
career,อาชีพ,achip
profession,อาชีพ,achip
shy,อาย,ai
age,อายุ,ayu
emotional,อารมณ์,arom
emotion,อารมณ์,arom
mood,อารมณ์,arom
humour,อารมณ์ขัน,aromkhan
upset,อารมณ์เสีย,aromsia
armed,อาวุธ,awut
weapon,อาวุธ,awut
arms,อาวุธ,awut
volunteer,อาสาสมัคร,asasamakkhon
feed,อาหาร,ahan
food,อาหาร,ahan
meal,อาหาร,ahan
diet,อาหาร,ahan
lunch,อาหารกลางวัน,ahanklangwan
breakfast,อาหารเช้า,ahanchao
dinner,อาหารเย็น,ahanyen
authority,อำนาจ,amnat
power,อำนาจ,amnat
district,อำเภอ,amphoe
internet,อินเทอร์เน็ต,inthoenet
independent,อิสระ,isara
electronic,อิเล็กทรอนิกส์,ilekthon-anik
again,อีกครั้ง,ikkhrang
mail,อีเมล,imen
email,อีเมล,imen
uncomfortable,อึดอัด,uet-at
embarrassed,อึดอัดใจ,uet-atchai
else,อื่น,uen
another,อื่น,uen
other,อื่น ๆ,uen wo
temperature,อุณหภูมิ,unhum
industry,อุตสาหกรรม,utsahakam
appeal,อุทธรณ์,utthon
incident,อุบัติการณ์,ubatikan
accident,อุบัติเหตุ,ubathet
equipment,อุปกรณ์,upakon
barrier,อุปสรรค,upsak
tunnel,อุโมงค์,umong
mild,อ่อน,on
soft,อ่อนนุ่ม,onnum
weak,อ่อนแอ,on-ae
gentle,อ่อนโยน,onyon
read,อ่าน,an
fat,อ้วน,uan
refer,อ้างถึง,angthueng
cite,อ้างอิง,ang-ing
quote,อ้างอิง,ang-ing
hockey,ฮอกกี้,hokki
criterion,เกณฑ์,ken
game,เกม,kem
afraid,เกรงกลัว,krengklua
grade,เกรด,kret
hate,เกลียด,kliat
salt,เกลือ,kluea
retire,เกษียณอายุ,kasian-ayu
island,เกาะ,ko
born,เกิด,koet
arise,เกิดขึ้น,koetkhuen
happen,เกิดขึ้น,koetkhuen
occur,เกิดขึ้น,koetkhuen
react,เกิดปฏิกิริยา,koetpatikiriya
beyond,เกิน,koen
over,เกิน,koen
too,เกินไป,koenpai
honour,เกียรติ,kiat
about,เกี่ยวกับ,kiaokap
educational,เกี่ยวกับการศึกษา,kiaokapkansueksa
connected,เกี่ยวข้อง,kiaokhong
nearly,เกือบ,kueap
almost,เกือบจะ,kueapcha
store,เก็บ,kep
collect,เก็บ,kep
keep,เก็บ,kep
maintain,เก็บรักษา,kepraksa
old,เก่า,kao
nine,เก้า,kao
ninety,เก้าสิบ,kaosip
chair,เก้าอี้,kao-i
county,เขต,khet
tropical,เขตร้อน,khetron
he,เขา,khao
him,เขา,khao
written,เขียน,khian
write,เขียน,khian
needle,เข็ม,khem
belt,เข็มขัด,khemkhat
knee,เข่า,khao
intense,เข้มข้น,khemkhon
strict,เข้มงวด,khemnguat
stay,เข้าพัก,khaophak
attend,เข้าร่วม,khaoruam
enter,เข้าสู่,khaosu
approach,เข้าใกล้,khaoklai
understand,เข้าใจ,khaochai
access,เข้าไป,khaopai
into,เข้าไป,khaopai
chemistry,เคมี,khemi
ever,เคย,khoei
used to,เคย,khoei
credit,เครดิต,khredit
network,เครือข่าย,khrueakhai
device,เครื่อง,khrueang
machine,เครื่อง,khrueang
instrument,เครื่องดนตรี,khrueangdontri
heating,เครื่องทำความร้อน,khrueangthamkhwamron
plane,เครื่องบิน,khrueangbin
decoration,เครื่องประดับ,khrueangpradap
printer,เครื่องพิมพ์,khrueangphim
tool,เครื่องมือ,khrueangmue
engine,เครื่องยนต์,khrueangyon
motor,เครื่องยนต์,khrueangyon
mark,เครื่องหมาย,khrueangmai
jewellery,เครื่องเพชรพลอย,khrueangphetphloi
religious,เคร่งศาสนา,khrengsatsana
trick,เคล็ดลับ,khletlap
desk,เคาน์เตอร์,khaotoe
respect,เคารพ,khaorop
knock,เคาะ,khao
cake,เค้ก,khek
outline,เค้าโครง,khaokhrong
shadow,เงา,ngao
penny,เงิน,ngoen
money,เงิน,ngoen
silver,เงิน,ngoen
loan,เงินกู้,ngoenku
currency,เงินตรา,ngoentra
pension,เงินบำนาญ,ngoenbamnan
cash,เงินสด,ngoensot
salary,เงินเดือน,ngoenduean
income,เงินได้,ngoendai
silent,เงียบ,ngiap
quiet,เงียบ,ngiap
quietly,เงียบ ๆ,ngiap wo
calm,เงียบสงบ,ngiapsa-ngop
peaceful,เงียบสงบ,ngiapsa-ngop
clue,เงื่อนงำ,ngueanngam
condition,เงื่อนไข,ngueankhai
grow,เจริญ,charoen
seven,เจ็ด,chet
seventy,เจ็ดสิบ,chetsip
hurt,เจ็บ,chep
painful,เจ็บปวด,cheppuat
lord,เจ้า,chao
owner,เจ้าของ,chaokhong
prince,เจ้าชาย,chaochai
master,เจ้านาย,chaonai
host,เจ้าภาพ,chaophap
bride,เจ้าสาว,chaosao
princess,เจ้าหญิง,chaoying
officer,เจ้าหน้าที่,chaonathi
specifically,เฉพาะ,chapho
gallery,เฉลียง,chaliang
average,เฉลี่ย,chalia
commercial,เชิงพาณิชย์,choengphanit
negative,เชิงลบ,choenglop
invite,เชิญ,choen
string,เชือก,chueak
rope,เชือก,chueak
believe,เชื่อ,chuea
obey,เชื่อฟัง,chueafang
chain,เชื่อมต่อ,chueamto
convinced,เชื่อว่า,chueawa
fuel,เชื้อเพลิง,chueaphloeng
as,เช่น,chen
like (find sb/sth pleasant),เช่น (พบ SB / ฏรื่นรมย์),chen phop ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap 
rent,เช่า,chao
cell,เซลล์,sen
session,เซสชั่น,setchan
guess,เดา,dao
walk,เดิน,doen
bet,เดิมพัน,doemphan
single,เดียว,diao
month,เดือน,duean
child,เด็ก,dek
kid,เด็ก,dek
boy,เด็กผู้ชาย,dekphuchai
apparently,เด่นชัด,denchat
prepare,เตรียมการ,triamkan
arrange,เตรียมการ,triamkan
kick,เตะ,te
cooker,เตา,tao
oven,เตาอบ,tao-op
fill,เติม,toem
bed,เตียง,tiang
remind,เตือน,tuean
warn,เตือน,tuean
tent,เต็นท์,ten
full,เต็ม,tem
willing,เต็มใจ,temchai
dance,เต้นรำ,tenram
breast,เต้านม,taonom
argue,เถียง,thiang
pour,เท,the
technique,เทคนิค,theknik
technology,เทคโนโลยี,theknoloiyi
tennis,เทนนิส,thennit
tape,เทป,thep
artificial,เทียม,thiam
midnight,เที่ยงคืน,thiangkhuen
flight,เที่ยวบิน,thiaobin
equal,เท่ากัน,thaokan
only,เท่านั้น,thaonan
foot,เท้า,thao
she,เธอ,thoe
her,เธอ,thoe
butter,เนย,noei
hill,เนินเขา,noenkhao
meat,เนื้อ,nuea
beef,เนื้อวัว,nueawua
content,เนื้อหา,nueaha
emphasize,เน้น,nen
petrol,เบนซิน,bensin
beer,เบียร์,bia
bored,เบื่อ,buea
compare,เปรียบเทียบ,priapthiap
flame,เปลวไฟ,pleofai
shift,เปลี่ยน,plian
change,เปลี่ยนแปลง,plianplaeng
shell,เปลือก,plueak
shine,เปล่งปลั่ง,plengplang
open,เปิด,poet
launch,เปิด,poet
expose,เปิดเผย,poetphoei
reveal,เปิดเผย,poetphoei
wet,เปียก,piak
piano,เปียโน,piano
be,เป็น,pen
belong,เป็นของ,penkhong
occasionally,เป็นครั้งคราว,penkhrangkhrao
first,เป็นครั้งแรก,penkhrangraek
original,เป็นต้นฉบับ,pentonchabap
formal,เป็นทางการ,penthangkan
official,เป็นทางการ,penthangkan
popular,เป็นที่นิยม,penthiniyom
naturally,เป็นธรรมชาติ,penthammachat
partly,เป็นบางส่วน,penbangsuan
typically,เป็นปกติ,penpokati
helpful,เป็นประโยชน์,penprayot
poisonous,เป็นพิษ,penphit
basically,เป็นพื้น,penphuen
human,เป็นมนุษย์,penmanut
friendly,เป็นมิตร,penmit
happily,เป็นสุข,pensuk
owe,เป็นหนี้,penni
harmful,เป็นอันตราย,pen-antrai
dangerous,เป็นอันตราย,pen-antrai
unique,เป็นเอกลักษณ์,pen-eklak
possible,เป็นไปได้,penbaidai
likely,เป็นไปได้,penbaidai
impossible,เป็นไปไม่ได้,penpaimaidai
target,เป้า,pao
goal,เป้าหมาย,paomai
burn,เผา,phao
diamond,เพชร,phet
ceiling,เพดาน,phedan
because,เพราะ,phro
music,เพลง,phleng
song,เพลง,phleng
rock (music),เพลงร็อค),phlengrokha
sex,เพศ,phet
add,เพิ่ม,phoem
increase,เพิ่มขึ้น,phoemkhuen
additional,เพิ่มเติม,phoemtoem
friend,เพื่อน,phuean
neighbour,เพื่อนบ้าน,phueanban
colleague,เพื่อนร่วมงาน,phueanruamngan
furniture,เฟอร์นิเจอร์,foenichoe
cloud,เมฆ,mek
metre,เมตร,met
menu,เมนู,menu
grain,เมล็ดข้าว,meletkhao
seed,เมล็ดพันธุ์,meletphan
April,เมษายน,mesayon
drunk,เมา,mao
city,เมือง,mueang
capital,เมืองหลวง,mueangluang
upon,เมื่อ,muea
yesterday,เมื่อวาน,mueawan
recent,เมื่อเร็ว ๆ นี้,mueareo ni
