Eng,Th
prefer,ชอบ
preparation,การจัดเตรียม
prepared,ที่เตรียมไว้
present,นำเสนอ
preserve,อนุรักษ์
press,กด
pretend,แกล้งทำ
prevent,ป้องกัน
previously,ก่อนหน้านี้
priest,พระสงฆ์
prime,สำคัญ
princess,เจ้าหญิง
print,พิมพ์
printing,การพิมพ์
prison,คุก
privacy,ความเป็นส่วนตัว
prize,รางวัล
problem,ปัญหา
process,กระบวนการ
producer,ผู้ผลิต
production,การผลิต
professional,มืออาชีพ
profile,ข้อมูลส่วนตัว
program,โปรแกรม
progress,ความคืบหน้า
promise,คำมั่นสัญญา
pronounce,ออกเสียง
proper,เหมาะสม
property,คุณสมบัติ
propose,เสนอ
protect,ป้องกัน
protest,ประท้วง
prove,พิสูจน์
psychologist,นักจิตวิทยา
pub,ผับ
publication,สิ่งพิมพ์
pull,ดึง
punishment,การลงโทษ
purchase,ซื้อ
purple,สีม่วง
pursue,ไล่ตาม
put,ใส่
qualified,มีคุณสมบัติ
quality,คุณภาพ
quarter,ย่าน
question,คำถาม
quick,รวดเร็ว
quiet,เงียบ
quit,เลิก
quotation,คำอ้างอิง
race (competition),การแข่งขัน (แข่งขัน)
racing,การแข่งรถ
railway,ทางรถไฟ
raise,ยก
rank,ยศ
rapidly,อย่างรวดเร็ว
rarely,นาน ๆ ครั้ง
rather,ค่อนข้าง
reach,การเข้าถึง
reaction,ปฏิกิริยา
reader,ผู้อ่าน
ready,พร้อมแล้ว
realistic,เหมือนจริง
realize,ตระหนัก
reason,เหตุผล
recall,จำ
receive,รับ
recently,เมื่อเร็ว ๆ นี้
recipe,สูตรอาหาร
recommend,แนะนำ
record,บันทึก
recover,กู้
red,สีแดง
reduction,การลดลง
reference,การอ้างอิง
refuse,ขยะ
region,ภูมิภาค
register,การลงทะเบียน
regular,ปกติ
regulation,ระเบียบข้อบังคับ
relate,สัมพันธ์
relation,ความสัมพันธ์
relative,ญาติ
relax,ผ่อนคลาย
relaxing,ผ่อนคลาย
relevant,ที่เกี่ยวข้อง
relief,ความโล่งอก
religious,เคร่งศาสนา
remain,ยังคง
remember,จำ
remote,ห่างไกล
rent,เช่า
repeat,ทำซ้ำ
replace,แทนที่
report,รายงาน
represent,แทน
reputation,ชื่อเสียง
require,จำเป็นต้อง
rescue,กู้ภัย
researcher,นักวิจัย
reserve,สำรอง
resist,ต่อต้าน
resort,รีสอร์ท
respect,เคารพ
response,คำตอบ
responsible,รับผิดชอบ
rest (sleep/relax),ส่วนที่เหลือ (การนอนหลับ / ผ่อนคลาย)
result,ผลลัพธ์
retire,เกษียณอายุ
return,กลับ
review,ทบทวน
revolution,การปฏิวัติ
rhythm,จังหวะ
rich,รวย
ride,นั่ง
ring,แหวน
rise,ลุกขึ้น
river,แม่น้ำ
robot,หุ่นยนต์
rock (music),เพลงร็อค)
roll,ม้วน
roof,หลังคา
root,ราก
rough,ขรุขระ
route,เส้นทาง
row,แถว
rub,ถู
rubbish,ขยะมูลฝอย
rugby,รักบี้
run,วิ่ง
running,วิ่ง
rush,วิ่ง
sadly,เศร้า
safety,ความปลอดภัย
sailing,การเดินเรือ
salad,สลัด
sale,การขาย
same,เหมือนกัน
sand,ทราย
satellite,ดาวเทียม
satisfy,พอใจ
sauce,ซอส
saving,ประหยัด
scale,ขนาด
scared,กลัว
scene,ฉาก
scheme,โครงการ
science,วิทยาศาสตร์
scientist,นักวิทยาศาสตร์
scream,กรีดร้อง
script,ต้นฉบับ
sea,ทะเล
season,ฤดู
second1 (next after the first),second1 (ต่อไปหลังจากที่ครั้งแรก)
secondary,รอง
secret,ความลับ
section,มาตรา
secure,ปลอดภัย
see,ดู
seek,แสวงหา
select,เลือก
self,ตนเอง
send,ส่ง
sense,ความรู้สึก
sensitive,รู้สึกไว
separate,แยก
sequence,ลำดับ
serious,จริงจัง
servant,คนรับใช้
service,บริการ
set (put),ชุด (ใส่)
setting,การตั้งค่า
seven,เจ็ด
seventy,เจ็ดสิบ
severe,รุนแรง
sexual,ทางเพศ
shadow,เงา
shall,จะต้อง
shame,ความอัปยศ
share,หุ้น
she,เธอ
sheet,แผ่น
shell,เปลือก
shift,เปลี่ยน
shiny,มันเงา
shirt,เสื้อเชิ้ต
shocked,ตกใจ
shoot,ยิง
shop,ร้านขายของ
short,สั้น
should,ควร
shout,เสียงร้อง
shower,ฝักบัว
shy,อาย
side,ด้าน
sign,สัญญาณ
significant,สำคัญ
silence,ความเงียบ
silk,ไหม
silver,เงิน
similarity,ความคล้ายคลึงกัน
simple,ง่าย
since,ตั้งแต่
sing,ร้องเพลง
singing,การร้องเพลง
sink,จม
sister,น้องสาว
site,เว็บไซต์
six,หก
sixty,หกสิบ
ski,สกี
skill,ความสามารถ
skirt,กระโปรง
slave,ทาส
slice,ชิ้น
slight,เล็กน้อย
slip,ลื่น
slow,ช้า
small,เล็ก
smartphone,มาร์ทโฟน
smile,รอยยิ้ม
smoking,ที่สูบบุหรี่
snake,งู
so,ดังนั้น
soccer,ฟุตบอล
society,สังคม
soft,อ่อนนุ่ม
soil,ดิน
soldier,ทหาร
solution,สารละลาย
some,บาง
someone,บางคน
sometimes,บางครั้ง
somewhere,บางแห่ง
song,เพลง
sorry,ขอโทษ
soul,จิตวิญญาณ
soup,ซุป
south,ทางทิศใต้
space,ช่องว่าง
speaker,ผู้พูด
specialist,ผู้เชี่ยวชาญ
specific,โดยเฉพาะ
speech,การพูด
spell,สะกด
spend,ใช้จ่าย
spicy,รสจัด
spirit,วิญญาณ
split,แยก
sponsor,สปอนเซอร์
sport,กีฬา
spread,การแพร่กระจาย
square,สี่เหลี่ยม
stadium,สนามกีฬา
stage,เวที
stamp,ประทับ
standard,มาตรฐาน
stare,จ้อง
state,สถานะ
station,สถานี
statue,รูปปั้น
stay,เข้าพัก
steal,ขโมย
steep,สูงชัน
stick (push into/attach),ติด (การผลักดันเข้า / แนบ)
sticky,เหนียว
still,ยังคง
stomach,กระเพาะอาหาร
stop,หยุด
storm,พายุ
straight,ตรง
stranger,คนแปลกหน้า
stream,กระแส
strength,ความแข็งแรง
stretch,ยืด
strike,โจมตี
strong,แข็งแรง
structure,โครงสร้าง
student,นักเรียน
study,ศึกษา
stupid,โง่
subject,เรื่อง
substance,สสาร
success,ความสำเร็จ
successfully,ประสบความสำเร็จ
sudden,ฉับพลัน
suffer,ประสบ
suggest,แนะนำ
suit,สูท
sum,รวม
summary,สรุป
sun,ดวงอาทิตย์
supermarket,ซุปเปอร์มาร์เก็ต
support,สนับสนุน
suppose,สมมติ
surely,อย่างแน่นอน
surgery,ศัลยกรรม
surprised,ประหลาดใจ
surround,รอบทิศทาง
survey,สำรวจ
suspect,สงสัย
sweater,เสื้อกันหนาว
sweet,หวาน
swimming,ว่ายน้ำ
symbol,สัญลักษณ์
symptom,อาการ
table,ตาราง
tail,หาง
tale,นิทาน
talented,มีความสามารถ
tall,สูง
tape,เทป
task,งาน
tax,ภาษี
tea,ชา
teacher,ครู
team,ทีม
tear2,tear2
technique,เทคนิค
teenage,วัยรุ่น
telephone,โทรศัพท์
tell,บอก
temporary,ชั่วคราว
tend,มีแนวโน้ม
tent,เต็นท์
terrible,น่ากลัว
text,ข้อความ
thank,ขอบคุณ
that,ที่
theatre,โรงละคร
theirs,ของพวกเขา
theme,กระทู้
then,แล้วก็
therapy,การรักษาด้วย
therefore,ดังนั้น
thick,หนา
thin,ผอม
think,คิด
third,ที่สาม
thirteen,สิบสาม
this,นี้
thought,ความคิด
threat,การคุกคาม
three,สาม
through,ตลอด
throw,โยน
thus,ดังนั้น
tidy,เรียบร้อย
tight,แน่น
time,เวลา
tiny,ขนาดเล็ก
tired,เหนื่อย
to,ถึง
toe,นิ้วเท้า
toilet,ห้องน้ำ
tomorrow,วันพรุ่งนี้
tongue,ลิ้น
too,เกินไป
tooth,ฟัน
topic,หัวข้อเรื่อง
totally,โดยสิ้นเชิง
tough,ยาก
tourism,การท่องเที่ยว
towards,ไปทาง
tower,หอคอย
toy,ของเล่น
trade,ค้า
traditional,แบบดั้งเดิม
train,รถไฟ
training,การอบรม
transform,แปลง
translate,แปลภาษา
transport,ขนส่ง
traveller,นักท่องเที่ยว
treatment,การรักษา
trend,แนวโน้ม
trick,เคล็ดลับ
tropical,เขตร้อน
trousers,กางเกง
TRUE,TRUE
trust,วางใจ
try,ลอง
tube,หลอด
tune,ทำนองเพลง
turn,กลับ
twelve,สิบสอง
twice,สองครั้ง
two,สอง
typical,ตามแบบฉบับ
tyre,ยาง
ultimately,ในที่สุด
unable,ไม่สามารถ
uncomfortable,อึดอัด
under,ภายใต้
understand,เข้าใจ
underwear,ชุดชั้นใน
unemployment,การว่างงาน
unfair,ไม่ยุติธรรม
unhappy,ไม่มีความสุข
union,สหภาพ
unit,หน่วย
universe,จักรวาล
unknown,ไม่ทราบ
unlike,แตกต่าง
unnecessary,ไม่จำเป็น
until,จนกระทั่ง
up,ขึ้น
upon,เมื่อ
upset,อารมณ์เสีย
upwards,สูงกว่า
urge,กระตุ้น
use,ใช้
used to,เคย
user,ผู้ใช้งาน
usually,มักจะ
valley,หุบเขา
value,ความคุ้มค่า
variety,ความหลากหลาย
vary,แตกต่าง
vegetable,ผัก
venue,แห่ง
very,มาก
victim,เหยื่อ
video,วีดีโอ
viewer,ผู้ชม
violence,ความรุนแรง
virtual,เสมือน
vision,วิสัยทัศน์
visitor,ผู้มาเยือน
vital,จำเป็น
voice,เสียงพูด
volunteer,อาสาสมัคร
wage,ค่าจ้าง
waiter,บริกร
walk,เดิน
want,ต้องการ
warm,อบอุ่น
warning,คำเตือน
washing,การซัก
watch,ดู
wave,คลื่น
we,เรา
weakness,ความอ่อนแอ
wealthy,ร่ำรวย
wear,สวมใส่
web,เว็บ
wedding,งานแต่งงาน
week,สัปดาห์
weigh,ชั่งน้ำหนัก
welcome,ยินดีต้อนรับ
west,ทิศตะวันตก
wet,เปียก
whatever,อะไรก็ตาม
when,เมื่อไหร่
where,ที่ไหน
wherever,ที่ไหนก็ตาม
which,ที่
whisper,กระซิบ
who,Who
whom,ใคร
why,ทำไม
widely,อย่างกว้างขวาง
wild,ป่า
will,จะ
win,ชนะ
wind2,wind2
wine,ไวน์
winner,ผู้ชนะ
wire,ลวด
wish,ประสงค์
within,ภายใน
witness,พยาน
wonder,น่าแปลกใจ
wood,ไม้
wool,ขนสัตว์
work,งาน
working,การทำงาน
worldwide,ทั่วโลก
worry,กังวล
worst,แย่ที่สุด
would,หากว่า
wow,ว้าว
write,เขียน
writing,การเขียน
wrong,ไม่ถูกต้อง
yeah,ใช่
yellow,สีเหลือง
yesterday,เมื่อวาน
you,คุณ
your,ของคุณ
yourself,ด้วยตัวคุณเอง
zero,ศูนย์
