Eng,Th,Romanized
murder,ฆาตกรรม,khatkam
muscle,กล้ามเนื้อ,klamnuea
museum,พิพิธภัณฑ์,phiphitphan
music,เพลง,phleng
musical,ดนตรี,dontri
musician,นักดนตรี,nakdontri
must modal,ต้องเป็นกิริยาช่วย,tongpenkiriyachuai
my,ของฉัน,khongchan
myself,ตนเอง,ton-eng
mysterious,ลึกลับ,lueklap
mystery,ความลึกลับ,khwamlueklap
nail,เล็บ,lep
name,ชื่อ,chue
narrative,การเล่าเรื่อง,kanlaorueang
narrow,แคบ,khaep
nation,ประเทศชาติ,prathetchat
national,แห่งชาติ,haengchat
native,พื้นเมือง,phuenmueang
natural,โดยธรรมชาติ,doithammachat
naturally,เป็นธรรมชาติ,penthammachat
nature,ธรรมชาติ,thammachat
near,ใกล้,klai
nearly,เกือบ,kueap
neat,เรียบร้อย,riaproi
necessarily,อย่างจำเป็น,yangchampen
necessary,จำเป็น,champen
neck,คอ,kho
need,ความต้องการ,khwamtongkan
needle,เข็ม,khem
negative,เชิงลบ,choenglop
neighbour,เพื่อนบ้าน,phueanban
neighbourhood,ย่าน,yan
neither,ค่า,kha
nerve,เส้นประสาท,senprasat
nervous,หงุดหงิด,ngutngit
net,สุทธิ,sutthi
network,เครือข่าย,khrueakhai
never,ไม่เคย,maikhoei
nevertheless,แต่ถึงอย่างไร,taethuengyangrai
new,ใหม่,mai
news,ข่าว,khao
newspaper,หนังสือพิมพ์,nangsuephim
next,ต่อไป,topai
next to,ต่อไป,topai
nice,ดี,di
night,กลางคืน,klangkhuen
nightmare,ฝันร้าย,fanrai
nine,เก้า,kao
nineteen,สิบเก้า,sipkao
ninety,เก้าสิบ,kaosip
no,ไม่,mai
no one,ไม่มีใคร,maimikhrai
nobody,ไม่มีใคร,maimikhrai
noise,สัญญาณรบกวน,sanyanarapkuan
noisy,ดัง,dang
none,ไม่มี,maimi
nor,ไม่,mai
normal,ปกติ,pokti
normally,ปกติ,pokti
north,ทางทิศเหนือ,thangthitnuea
northern,ภาคเหนือ,phaknuea
nose,จมูก,chamuk
not,ไม่,mai
note,บันทึก,banthuek
nothing,ไม่มีอะไร,maimi-arai
notice,แจ้งให้ทราบ,chaenghaisap
notion,ความคิด,khwamkhit
novel,นวนิยาย,nawaniyai
now,ตอนนี้,tonni
nowhere,ไม่มีที่ไหนเลย,maimithihailoei
nuclear,นิวเคลียร์,niokhlia
number,จำนวน,chamnuan
numerous,มากมาย,makmai
nurse,พยาบาล,phayaban
nut,ถั่ว,thua
obey,เชื่อฟัง,chueafang
object,วัตถุ,watthu
objective,วัตถุประสงค์,watthuprasong
obligation,ภาระผูกพัน,pharaphukphan
observation,การสังเกต,kansangket
observe,สังเกต,sangket
obtain,ได้รับ,dairap
obvious,ชัดเจน,chatchen
obviously,อย่างชัดเจน,yangchatchen
occasion,โอกาส,okat
occasionally,เป็นครั้งคราว,penkhrangkhrao
occur,เกิดขึ้น,koetkhuen
ocean,มหาสมุทร,mahasamut
odd,แปลก,plaek
of,ของ,khong
off,ปิด,pit
offence,การกระทำผิดกฎหมาย,kankrathamphitkotmai
offend,ขัดใจ,khatchai
offensive,น่ารังเกียจ,narangkiat
offer,เสนอ,sanoe
office,สำนักงาน,samnakngan
officer,เจ้าหน้าที่,chaonathi
official,เป็นทางการ,penthangkan
often,บ่อยครั้ง,boikhrang
oh,โอ้,o
oil,น้ำมัน,namman
old,เก่า,kao
old-fashioned,หัวโบราณ,huaboran
on,บน,bon
once,ครั้งหนึ่ง,khrangnueng
one,หนึ่ง,nueng
onion,หัวหอม,huahom
online,ออนไลน์,onlai
only,เท่านั้น,thaonan
onto,ไปยัง,paiyang
open,เปิด,poet
opening,การเปิด,kanpoet
operate,ทำงาน,thamngan
operation,การทำงาน,kanthamngan
opinion,ความคิดเห็น,khwamkhithen
opponent,คู่แข่ง,khukhaeng
opportunity,โอกาส,okat
oppose,ต่อต้าน,totan
opposed,ไม่เห็นด้วย,maihenduai
opposite,ตรงข้าม,trongkham
opposition,ฝ่ายค้าน,faikhan
option,ตัวเลือก,tualueak
or,หรือ,rue
orange,ส้ม,som
order,ใบสั่ง,baisang
ordinary,สามัญ,saman
organ,อวัยวะ,awaiwa
organization,องค์กร,ongkon
organize,จัดระเบียบ,chatrabiap
organized,จัด,chat
organizer,การจัดงาน,kanchatngan
origin,ที่มา,thima
original,เป็นต้นฉบับ,pentonchabap
originally,แต่เดิม,taedoem
other,อื่น ๆ,uen wo
otherwise,มิฉะนั้น,michanan
ought,ควร,khuan
our,ของเรา,khongrao
ours,ของเราเอง,khongrao-eng
ourselves,ตัวเรา,tuarao
out,ออก,ok
outcome,ผล,phon
outdoor,กลางแจ้ง,klangchaeng
outdoors,กลางแจ้ง,klangchaeng
outer,ด้านนอก,dannok
outline,เค้าโครง,khaokhrong
outside,ด้านนอก,dannok
oven,เตาอบ,tao-op
over,เกิน,koen
overall,ทั้งหมด,thangmot
owe,เป็นหนี้,penni
own,ด้วยตัวเอง,duaitua-eng
owner,เจ้าของ,chaokhong
o’clock,โมง,mong
pace,ก้าว,kao
pack,แพ็ค,phaek
package,บรรจุภัณฑ์,banchuphan
page,หน้า,na
pain,ความเจ็บปวด,khwamcheppuat
painful,เจ็บปวด,cheppuat
paint,สี,si
painter,จิตรกร,chittrakon
painting,จิตรกรรม,chittrakam
pair,คู่,khu
palace,พระราชวัง,phraratchawang
pale,ซีด,sit
pan,กระทะ,kratha
panel,แผงหน้าปัด,phaengnapat
pants,กางเกง,kangkeng
paper,กระดาษ,kradat
paragraph,ย่อหน้า,yona
parent,ผู้ปกครอง,phupokkhrong
park,สวน,suan
parking,ที่จอดรถ,thichotrot
parliament,รัฐสภา,ratthasapha
part,ส่วนหนึ่ง,suannueng
participant,ผู้เข้าร่วม,phukhaoruam
participate,มีส่วนร่วม,misuanruam
particular,โดยเฉพาะ,doichapho
particularly,โดยเฉพาะ,doichapho
partly,เป็นบางส่วน,penbangsuan
partner,หุ้นส่วน,hunsuan
party,พรรค,phak
pass,ผ่านไป,phanpai
passage,ทางเดิน,thangdoen
passenger,ผู้โดยสาร,phudoisan
passion,แรงผลักดัน,raengphlakdan
passport,หนังสือเดินทาง,nangsuedoenthang
past,อดีต,adit
path,เส้นทาง,senthang
patient,อดทน,otthon
pattern,แบบแผน,baepphaen
pay,การจ่ายเงิน,kanchai-ngoen
payment,การชำระเงิน,kanchamra-ngoen
peace,ความสงบ,khwamsa-ngop
peaceful,เงียบสงบ,ngiapsa-ngop
pen,ปากกา,pakka
pencil,ดินสอ,dinso
penny,เงิน,ngoen
pension,เงินบำนาญ,ngoenbamnan
people,คน,khon
pepper,พริกไทย,phrikthai
per,ต่อ,to
per cent,ร้อยละ,roila
percentage,ร้อยละ,roila
perfect,สมบูรณ์,sombun
perfectly,อย่างสมบูรณ์,yangsombun
perform,ปฏิบัติการ,patibattan
performance,ประสิทธิภาพ,prasitthiphap
perhaps,บางที,bangthi
period,ระยะเวลา,rayawela
permanent,ถาวร,thawon
permission,การอนุญาต,kan-anunat
permit,ใบอนุญาต,bai-ununat
person,คน,khon
personal,ส่วนบุคคล,suanbukkhon
personality,บุคลิกภาพ,buklikphap
personally,ส่วนตัว,suantua
perspective,มุมมอง,mummong
persuade,ชักชวน,chakchuan
pet,สัตว์เลี้ยง,satliang
petrol,เบนซิน,bensin
phase,ระยะ,raya
phenomenon,ปรากฏการณ์,prakttan
philosophy,ปรัชญา,pratya
phone,โทรศัพท์,thorasap
photo,ภาพถ่าย,phapthai
photograph,ถ่ายภาพ,thaiphap
photographer,ช่างภาพ,changphap
photography,การถ่ายภาพ,kanthaiphap
phrase,วลี,wali
physical,กายภาพ,kaiphap
physics,ฟิสิกส์,fisik
piano,เปียโน,piano
pick,เลือก,lueak
picture,ภาพ,phap
piece,ชิ้น,chin
pig,หมู,mu
pile,กอง,kong
pilot,นักบิน,nakbin
pin,หมุด,mut
pink,สีชมพู,sichomphu
pipe,ท่อ,tho
pitch,ขว้าง,khwang
place,สถานที่,sathanthi
plain,ที่ราบ,thirap
plan,วางแผน,wangphaen
plane,เครื่องบิน,khrueangbin
planet,ดาวเคราะห์,daokhro
planning,การวางแผน,kanwangphaen
plant,ปลูก,pluk
plastic,พลาสติก,phlattik
plate,จาน,chan
platform,เวที,wethi
play,เล่น,len
player,ผู้เล่น,phulen
pleasant,น่ารื่นรมย์,naruenrom
please,กรุณา,karuna
pleased,ยินดี,yindi
pleasure,ความสุข,khwamsuk
plenty,ความอุดมสมบูรณ์,khwam-udomsombun
plot,พล็อต,phlot
plus,บวก,buak
pocket,กระเป๋าเสื้อ,krapaosuea
poem,บทกวี,botkawi
poet,กวี,kawi
poetry,บทกวี,botkawi
point,จุด,chut
pointed,แหลม,laem
poison,ยาพิษ,yaphit
poisonous,เป็นพิษ,penphit
police,ตำรวจ,tamruat
policeman,ตร.,toro
policy,นโยบาย,nayobai
polite,สุภาพ,suphap
political,ในทางการเมือง,naithangkanmueang
politician,นักการเมือง,nakkanmueang
politics,การเมือง,kanmueang
pollution,มลพิษ,monphit
pool,สระ,sa
poor,น่าสงสาร,nasongsan
pop,ป๊อปอัพ,pop-ap
popular,เป็นที่นิยม,penthiniyom
popularity,ความนิยม,khwamniyom
population,ประชากร,prachakon
port,ท่าเรือ,tharuea
portrait,ภาพเหมือน,phapmuean
pose,ก่อให้เกิด,kohaikoet
position,ตำแหน่ง,tamnaeng
positive,บวก,buak
possess,มี,mi
possession,สมบัติ,sombat
possibility,ความเป็นไปได้,khwampenbaidai
possible,เป็นไปได้,penbaidai
possibly,อาจ,at
post,เสา,sao
poster,โปสเตอร์,posatoe
pot,หม้อ,mo
potato,มันฝรั่ง,manfarang
potential,ที่อาจเกิดขึ้น,thi-atkoetkhuen
pound,ปอนด์,pon
pour,เท,the
poverty,ความยากจน,khwamyakchon
powder,ผง,phong
power,อำนาจ,amnat
powerful,มีอำนาจ,mi-amnat
practical,ประยุกต์,prayuk
practice,การปฏิบัติ,kanpatibat
practise,การปฏิบัติ,kanpatibat
praise,สรรเสริญ,sansoen
pray,อธิษฐาน,athitthan
prayer,การอธิษฐาน,kan-athitthan
predict,ทำนาย,thamnai
prediction,คาดการณ์,khatkan
prefer,ชอบ,chop
pregnant,ตั้งครรภ์,tangkhan
preparation,การจัดเตรียม,kanchattriam
prepare,เตรียมการ,triamkan
prepared,ที่เตรียมไว้,thitriamwai
presence,การมี,kanmi
present,นำเสนอ,namsanoe
presentation,การเสนอ,kansanoe
preserve,อนุรักษ์,anurak
president,ประธาน,prathan
press,กด,kot
pressure,ความดัน,khwamdan
pretend,แกล้งทำ,klaengtham
pretty,น่ารัก,narak
prevent,ป้องกัน,pongkan
previous,ก่อน,kon
previously,ก่อนหน้านี้,konnani
price,ราคา,rakha
priest,พระสงฆ์,phrasong
primary,ประถม,prathom
prime,สำคัญ,samkhan
prince,เจ้าชาย,chaochai
princess,เจ้าหญิง,chaoying
principle,หลัก,lak
print,พิมพ์,phim
printer,เครื่องพิมพ์,khrueangphim
printing,การพิมพ์,kanphim
priority,จัดลำดับความสำคัญ,chatlamdapkhwamsamkhan
prison,คุก,khuk
prisoner,นักโทษ,nakthot
privacy,ความเป็นส่วนตัว,khwampensuantua
private,เอกชน,ekkhon
prize,รางวัล,rangwan
probably,อาจ,at
problem,ปัญหา,panha
procedure,ขั้นตอน,khanton
process,กระบวนการ,krabuankan
produce,การผลิต,kanphlit
producer,ผู้ผลิต,phuphlit
product,สินค้า,sinkha
production,การผลิต,kanphlit
profession,อาชีพ,achip
professional,มืออาชีพ,mue-achip
professor,ศาสตราจารย์,sattrachan
profile,ข้อมูลส่วนตัว,khomunsuantua
profit,กำไร,kamrai
program,โปรแกรม,prokraem
programme,โปรแกรม,prokraem
progress,ความคืบหน้า,khwamkhuepna
project,โครงการ,khrongkan
promise,คำมั่นสัญญา,khammansanya
promote,ส่งเสริม,songsoem
pronounce,ออกเสียง,oksiang
proof,พิสูจน์,phisut
proper,เหมาะสม,mosom
properly,อย่างถูกต้อง,yangthuktong
property,คุณสมบัติ,khunsombat
proposal,ข้อเสนอ,khosanoe
propose,เสนอ,sanoe
prospect,โอกาส,okat
protect,ป้องกัน,pongkan
protection,การป้องกัน,kanpongkan
protest,ประท้วง,prathuang
proud,ภูมิใจ,phumchai
prove,พิสูจน์,phisut
provide,ให้,hai
psychologist,นักจิตวิทยา,nakchitwitthaya
psychology,จิตวิทยา,chittiwitthaya
pub,ผับ,phap
public,สาธารณะ,satharana
publication,สิ่งพิมพ์,singphim
publish,ประกาศ,prakat
pull,ดึง,dueng
punish,ลงโทษ,longthot
punishment,การลงโทษ,kanlongthot
pupil,นักเรียน,nakrian
purchase,ซื้อ,sue
pure,บริสุทธิ์,borisut
purple,สีม่วง,simuang
purpose,วัตถุประสงค์,watthuprasong
pursue,ไล่ตาม,laitam
push,ดัน,dan
put,ใส่,sai
qualification,คุณสมบัติ,khunsombat
qualified,มีคุณสมบัติ,mikhunsombat
qualify,มีคุณสมบัติ,mikhunsombat
quality,คุณภาพ,khunphap
quantity,ปริมาณ,pariman
quarter,ย่าน,yan
queen,พระราชินี,phrarachini
question,คำถาม,khamtham
queue,คิว,khio
quick,รวดเร็ว,ruatreo
quickly,อย่างรวดเร็ว,yangruatreo
quiet,เงียบ,ngiap
quietly,เงียบ ๆ,ngiap wo
quit,เลิก,loek
quite,ทีเดียว,thidiao
quotation,คำอ้างอิง,kham-ang-ing
quote,อ้างอิง,ang-ing
race (competition),การแข่งขัน (แข่งขัน),kankhaengkhan phakhaengkhan
race (people),การแข่งขัน (คน),kankhaengkhan phakhano
racing,การแข่งรถ,kankhaengrot
radio,วิทยุ,witthayu
railway,ทางรถไฟ,thangrotfai
rain,ฝน,fon
raise,ยก,yok
range,พิสัย,phisai
rank,ยศ,yot
rapid,รวดเร็ว,ruatreo
rapidly,อย่างรวดเร็ว,yangruatreo
rare,หายาก,hayak
rarely,นาน ๆ ครั้ง,nan  chrang
rate,ประเมินค่า,pramoenkha
rather,ค่อนข้าง,khonkhang
raw,ดิบ,dip
reach,การเข้าถึง,kankhaothueng
react,เกิดปฏิกิริยา,koetpatikiriya
reaction,ปฏิกิริยา,patikiriya
read,อ่าน,an
reader,ผู้อ่าน,phu-an
reading,การอ่าน,kan-an
ready,พร้อมแล้ว,phromlaeo
real,จริง,ching
realistic,เหมือนจริง,mueanching
reality,ความจริง,khwamching
realize,ตระหนัก,tranak
really,จริงๆ,chingo
reason,เหตุผล,hetphon
reasonable,มีเหตุผล,mihetphon
recall,จำ,cham
receipt,ใบเสร็จรับเงิน,baisetrapngoen
receive,รับ,rap
recent,เมื่อเร็ว ๆ นี้,mueareo ni
recently,เมื่อเร็ว ๆ นี้,mueareo ni
reception,แผนกต้อนรับ,phaenktonrap
recipe,สูตรอาหาร,suttahan
recognize,รับรู้,rapru
recommend,แนะนำ,nanam
recommendation,ข้อเสนอแนะ,khosenoenae
record,บันทึก,banthuek
recording,การบันทึก,kanbanthuek
recover,กู้,ku
recycle,รีไซเคิล,risaikhoen
red,สีแดง,sidaeng
reduce,ลด,lot
reduction,การลดลง,kanlotlong
refer,อ้างถึง,angthueng
reference,การอ้างอิง,kan-ang-ing
reflect,สะท้อน,sathon
refuse,ขยะ,khaya
regard,คำนึงถึง,khamnuengthueng
region,ภูมิภาค,phumphak
regional,ของแคว้น,khongkhwaen
register,การลงทะเบียน,kanlongthabian
regret,เสียใจ,siachai
regular,ปกติ,pokti
regularly,สม่ำเสมอ,samamsamoe
regulation,ระเบียบข้อบังคับ,rabiapkhobangkhap
reject,ปฏิเสธ,patiset
relate,สัมพันธ์,samphan
related,ที่เกี่ยวข้อง,thikiaokhong
relation,ความสัมพันธ์,khwamsamphan
relationship,ความสัมพันธ์,khwamsamphan
relative,ญาติ,yat
relatively,สัมพัทธ์,samphat
relax,ผ่อนคลาย,phonkhlai
relaxed,ผ่อนคลาย,phonkhlai
relaxing,ผ่อนคลาย,phonkhlai
release,ปล่อย,ploi
relevant,ที่เกี่ยวข้อง,thikiaokhong
reliable,น่าเชื่อถือ,nachueathue
relief,ความโล่งอก,khwamlo-ngok
religion,ศาสนา,satsana
religious,เคร่งศาสนา,khrengsatsana
rely,วางใจ,wangchai
remain,ยังคง,yangkhong
remark,สังเกต,sangket
remember,จำ,cham
remind,เตือน,tuean
remote,ห่างไกล,hangklai
remove,ลบ,lop
rent,เช่า,chao
repair,ซ่อมแซม,somsaem
repeat,ทำซ้ำ,thamsam
repeated,ซ้ำแล้วซ้ำอีก,samlaeosam-ik
replace,แทนที่,thaenthi
reply,ตอบ,top
report,รายงาน,rai-ngan
reporter,ผู้สื่อข่าว,phusuekhao
represent,แทน,thaen
representative,ตัวแทน,tuathaen
reputation,ชื่อเสียง,chuesiang
request,ขอร้อง,khorong
require,จำเป็นต้อง,champentong
requirement,ความต้องการ,khwamtongkan
rescue,กู้ภัย,kuphai
research,วิจัย,wichai
researcher,นักวิจัย,nakwichai
reservation,การจองห้องพัก,kanchonghongphak
reserve,สำรอง,samrong
resident,ผู้อยู่อาศัย,phuyu-asai
resist,ต่อต้าน,totan
resolve,แก้ไข,kaekhai
resort,รีสอร์ท,riso
resource,ทรัพยากร,sapphayakon
respect,เคารพ,khaorop
respond,ตอบสนอง,topsanong
response,คำตอบ,khamtop
responsibility,ความรับผิดชอบ,khwamrapphitchop
responsible,รับผิดชอบ,rapphitchop
rest (remaining part),ส่วนที่เหลือ (ส่วนที่เหลือ),suanthiluea phusanthiluea
rest (sleep/relax),ส่วนที่เหลือ (การนอนหลับ / ผ่อนคลาย),suanthiluea phakannonkhlai
restaurant,ร้านอาหาร,ran-ahan
result,ผลลัพธ์,phonlap
retain,รักษา,raksa
retire,เกษียณอายุ,kasian-ayu
retired,ถอยออก,thoi-ok
return,กลับ,klap
reveal,เปิดเผย,poetphoei
review,ทบทวน,thopthuan
revise,แก้ไขใหม่,kaekhaimai
revolution,การปฏิวัติ,kanpatiwat
reward,รางวัล,rangwan
rhythm,จังหวะ,changwa
rice,ข้าว,khao
rich,รวย,ruai
rid,กำจัด,kamchat
ride,นั่ง,nang
right,ขวา,khwa
ring,แหวน,waen
ring,แหวน,waen
rise,ลุกขึ้น,lukkhuen
risk,อันตราย,antrai
river,แม่น้ำ,maenam
road,ถนน,thanon
robot,หุ่นยนต์,hunyon
rock (music),เพลงร็อค),phlengrokha
rock (stone),ร็อค (หิน),rok phahino
role,บทบาท,botbat
roll,ม้วน,muan
romantic,โรแมนติก,romaentik
roof,หลังคา,langkha
room,ห้อง,hong
root,ราก,rak
rope,เชือก,chueak
rough,ขรุขระ,khrukhra
round,รอบ,rop
route,เส้นทาง,senthang
routine,กิจวัตรประจำวัน,kitwatprachamwan
row,แถว,thaeo
royal,หลวง,luang
rub,ถู,thu
rubber,ยาง,yang
rubbish,ขยะมูลฝอย,khayamunfoi
rude,หยาบ,yap
rugby,รักบี้,rakbi
rule,กฎ,kot
run,วิ่ง,wing
runner,ทางวิ่ง,thangwing
running,วิ่ง,wing
rural,ชนบท,chonbot
rush,วิ่ง,wing
sad,เสียใจ,siachai
sadly,เศร้า,sao
safe,ปลอดภัย,plotphai
safety,ความปลอดภัย,khwamplotphai
sail,แล่นเรือ,laenruea
sailing,การเดินเรือ,kandoenruea
sailor,กะลาสี,kalasi
salad,สลัด,salat
salary,เงินเดือน,ngoenduean
sale,การขาย,kankhai
salt,เกลือ,kluea
same,เหมือนกัน,mueankan
sample,ตัวอย่าง,tuayyang
sand,ทราย,sai
sandwich,แซนด์วิช,saenwit
satellite,ดาวเทียม,daothiam
satisfied,ความพึงพอใจ,khwamphuengphochai
satisfy,พอใจ,phochai
sauce,ซอส,sot
save,บันทึก,banthuek
saving,ประหยัด,prayat
say,พูด,phut
scale,ขนาด,khanat
scan,การสแกน,kansakaen
scared,กลัว,klua
scary,น่ากลัว,naklua
scene,ฉาก,chak
schedule,ตารางเวลา,tarangwela
scheme,โครงการ,khrongkan
school,โรงเรียน,rongrian
science,วิทยาศาสตร์,witthayasat
scientific,วิทยาศาสตร์,witthayasat
scientist,นักวิทยาศาสตร์,nakwitthayasat
score,คะแนน,khanaen
scream,กรีดร้อง,kritrong
screen,จอภาพ,chophap
script,ต้นฉบับ,tonchabap
sculpture,ประติมากรรม,pratimakam
sea,ทะเล,thale
search,ค้นหา,khonha
season,ฤดู,ruedu
seat,ที่นั่ง,thinang
second1 (next after the first),second1 (ต่อไปหลังจากที่ครั้งแรก),yairarai  ttopailangchakhrangraek
second1 (unit of time),second1 (หน่วยเวลา),yairarai  naaiwela
secondary,รอง,rong
secondly,ในประการที่สอง,naiprakanthisong
secret,ความลับ,khwamlap
secretary,เลขานุการ,lekhanukan
section,มาตรา,matra
sector,ภาค,phak
secure,ปลอดภัย,plotphai
security,ความปลอดภัย,khwamplotphai
see,ดู,du
seed,เมล็ดพันธุ์,meletphan
seek,แสวงหา,sawaengha
seem,ดูเหมือน,dumuean
select,เลือก,lueak
selection,การเลือก,kanlueak
self,ตนเอง,ton-eng
sell,ขาย,khai
send,ส่ง,song
senior,ระดับอาวุโส,radap-awuso
sense,ความรู้สึก,khwamrusuek
sensible,สมเหตุสมผล,somahetsomphon
sensitive,รู้สึกไว,rusuekwai
sentence,ประโยค,prayok
separate,แยก,yaek
sequence,ลำดับ,lamdap
series,ชุด,chut
serious,จริงจัง,chingchang
seriously,อย่างจริงจัง,yangchingchang
servant,คนรับใช้,khonrapchai
serve,บริการ,borikan
service,บริการ,borikan
session,เซสชั่น,setchan
set (group),ชุด (กลุ่ม),chut phaklum
set (put),ชุด (ใส่),chut phasai
setting,การตั้งค่า,kantangkha
settle,ชำระ,chamra
seven,เจ็ด,chet
seventeen,สิบเจ็ด,sipchet
seventy,เจ็ดสิบ,chetsip
several,หลาย,lai
severe,รุนแรง,runraeng
sex,เพศ,phet
sexual,ทางเพศ,thangphet
shade,ร่มเงา,romngao
shadow,เงา,ngao
shake,สั่น,san
shall,จะต้อง,chatong
shallow,ตื้น,tuen
shame,ความอัปยศ,khwam-apayot
shape,รูปร่าง,ruprang
share,หุ้น,hun
sharp,คม,khom
she,เธอ,thoe
sheep,แกะ,kae
sheet,แผ่น,phaen
shelf,หิ้ง,hing
shell,เปลือก,plueak
shelter,ที่พักอาศัย,thiphak-asai
shift,เปลี่ยน,plian
shine,เปล่งปลั่ง,plengplang
shiny,มันเงา,manngao
ship,เรือ,ruea
shirt,เสื้อเชิ้ต,sueachoet
shock,ช็อก,chok
shocked,ตกใจ,tokchai
shoe,รองเท้า,rongthao
shoot,ยิง,ying
shooting,การยิง,kanying
shop,ร้านขายของ,rankhaikhong
shopping,ช้อปปิ้ง,chopping
short,สั้น,san
shot,การถ่ายภาพ,kanthaiphap
should,ควร,khuan
shoulder,ไหล่,lai
shout,เสียงร้อง,siangrong
show,แสดง,sadang
shower,ฝักบัว,fakbua
shut,ปิด,pit
shy,อาย,ai
sick,ป่วย,puai
side,ด้าน,dan
sight,สายตา,saita
sign,สัญญาณ,sanyan
signal,สัญญาณ,sanyan
significant,สำคัญ,samkhan
significantly,อย่างมีความหมาย,yangmikhwammai
silence,ความเงียบ,khwamngiap
silent,เงียบ,ngiap
silk,ไหม,haimai
silly,โง่,ngo
silver,เงิน,ngoen
similar,คล้ายคลึงกัน,khlaikhluengkan
similarity,ความคล้ายคลึงกัน,khwamkhlaikhluengkan
similarly,เหมือนกับ,mueankap
simple,ง่าย,ngai
simply,ง่ายดาย,ngaidai
since,ตั้งแต่,tangtae
sincere,จริงใจ,chingchai
sing,ร้องเพลง,rongphleng
singer,นักร้อง,nakrong
singing,การร้องเพลง,kanrongphleng
single,เดียว,diao
sink,จม,chom
sir,ท่าน,than
sister,น้องสาว,nongsao
sit,นั่ง,nang
site,เว็บไซต์,wepsai
situation,สถานการณ์,sathankan
six,หก,hok
sixteen,สิบหก,siphok
sixty,หกสิบ,hoksip
size,ขนาด,khanat
ski,สกี,saki
skiing,การเล่นสกี,kanlensaki
skill,ความสามารถ,khwamsamat
skin,ผิว,phio
skirt,กระโปรง,kraprong
sky,ท้องฟ้า,thongfa
slave,ทาส,that
sleep,นอน,non
slice,ชิ้น,chin
slide,สไลด์,salai
slight,เล็กน้อย,leknoi
slightly,เล็กน้อย,leknoi
slip,ลื่น,luen
slope,ลาด,lat
slow,ช้า,cha
slowly,ช้า,cha
small,เล็ก,lek
smart,ฉลาด,chalat
smartphone,มาร์ทโฟน,matfafon
smell,กลิ่น,klin
smile,รอยยิ้ม,roiyim
smoke,ควัน,khwan
smoking,ที่สูบบุหรี่,thisupburi
smooth,เรียบ,riap
snake,งู,ngu
snow,หิมะ,hima
so,ดังนั้น,dangnan
soap,สบู่,sabu
soccer,ฟุตบอล,futbon
social,สังคม,sangkhom
society,สังคม,sangkhom
sock,ถุงเท้า,thungthao
soft,อ่อนนุ่ม,onnum
software,ซอฟต์แวร์,sopwae
soil,ดิน,din
solar,แสงอาทิตย์,saeng-athit
soldier,ทหาร,thahan
solid,ของแข็ง,khongkhaeng
solution,สารละลาย,sanlalai
solve,แก้,kae
some,บาง,bang
somebody,บางคน,bangkhon
someone,บางคน,bangkhon
something,บางสิ่งบางอย่าง,bangsingbangyang
sometimes,บางครั้ง,bangkhrang
somewhat,ค่อนข้าง,khonkhang
somewhere,บางแห่ง,banghaeng
son,ลูกชาย,lukchai
song,เพลง,phleng
soon,ในไม่ช้า,naimaicha
sorry,ขอโทษ,khothot
sort,ประเภท,praphet
soul,จิตวิญญาณ,chittawinyan
sound,เสียง,siang
soup,ซุป,sup
source,แหล่ง,laeng
south,ทางทิศใต้,thangthittai
southern,ทางใต้,thangtai
space,ช่องว่าง,chongwang
speak,พูด,phut
speaker,ผู้พูด,phuphut
special,พิเศษ,phiset
specialist,ผู้เชี่ยวชาญ,phuchiaochan
species,สายพันธุ์,saiphan
specific,โดยเฉพาะ,doichapho
specifically,เฉพาะ,chapho
speech,การพูด,kanphut
speed,ความเร็ว,khwamreo
spell,สะกด,sakot
spelling,การสะกดคำ,kansakotkham
spend,ใช้จ่าย,chaichai
spending,การใช้จ่าย,kanchaichai
spicy,รสจัด,rotchat
spider,แมงมุม,maengmum
spirit,วิญญาณ,winyan
spiritual,มโนมัย,manomai
split,แยก,yaek
spoken,พูด,phut
sponsor,สปอนเซอร์,saponsoe
spoon,ช้อน,chon
sport,กีฬา,kila
spot,จุด,chut
spread,การแพร่กระจาย,kanphraekrachai
spring,ฤดูใบไม้ผลิ,ruedubaimaiphli
square,สี่เหลี่ยม,siliam
stable,มีเสถียรภาพ,misathianphap
stadium,สนามกีฬา,sanamkila
staff,บุคลากร,buklakon
stage,เวที,wethi
stair,บันได,bandai
stamp,ประทับ,prathap
stand,ยืน,yuen
standard,มาตรฐาน,matthan
star,ดาว,dao
stare,จ้อง,chong
start,เริ่มต้น,roemton
state,สถานะ,sathana
statement,คำให้การ,khamhaikan
station,สถานี,sathani
statistic,สถิติ,sathiti
statue,รูปปั้น,ruppan
status,สถานะ,sathana
stay,เข้าพัก,khaophak
steady,มั่นคง,mankhong
steal,ขโมย,khamoi
steel,เหล็ก,lek
steep,สูงชัน,sungchan
step,ขั้นตอน,khanton
stick (piece of wood),ติด (ชิ้นส่วนของไม้),tit bachinsuankhongmai
stick (push into/attach),ติด (การผลักดันเข้า / แนบ),tit phakanphalakdankhaep
sticky,เหนียว,niao
stiff,แข็ง,khaeng
still,ยังคง,yangkhong
stock,คลังสินค้า,khlangsinkha
stomach,กระเพาะอาหาร,krapho-ahan
stone,หิน,hin
stop,หยุด,yut
store,เก็บ,kep
storm,พายุ,phayu
story,เรื่องราว,rueangrao
straight,ตรง,trong
strange,แปลก,plaek
stranger,คนแปลกหน้า,khonplaekna
strategy,กลยุทธ์,konlayut
